291,1 542,1 436,1 394,1 519,1 351,2 296,1 1,1
552,1 339,1 542,1 543,1 0,0 0,0 0,0 1,1
224,1 542,1 184,1 371,1 346,1 427,1 0,0 1,1
442,1 343,3 414,2 345,1 415,2 344,2 346,2 1,1
442,1 348,1 539,2 402,1 542,1 0,0 0,0 1,1
552,1 544,1 542,1 543,1 0,0 0,0 0,0 1,1
224,1 361,1 542,1 359,1 358,1 424,1 135,1 1,1
224,1 339,1 172,1 381,1 457,1 337,1 387,1 1,1
552,1 339,1 459,1 543,1 0,0 0,0 0,0 1,1
291,1 436,1 485,1 411,3 414,1 237,1 0,0 1,1
224,1 184,1 427,1 371,1 183,1 346,1 367,1 1,1
224,1 514,1 184,1 371,1 424,1 367,1 0,0 1,1
503,2 376,1 462,1 426,3 429,1 457,3 0,0 1,1
552,1 339,1 544,1 542,1 0,0 0,0 0,0 1,1
554,1 542,2 436,1 387,2 273,3 237,1 175,2 1,1
224,1 542,1 184,1 371,1 424,1 367,1 0,0 1,1
552,2 369,3 370,3 351,2 312,1 183,1 346,2 1,1
552,2 542,1 315,1 514,3 351,2 380,1 0,0 1,1
552,2 315,2 546,2 351,2 512,2 0,0 0,0 1,1
224,2 361,1 353,3 354,3 357,3 141,1 138,1 2,2
291,1 367,1 379,1 188,1 369,1 0,0 0,0 1,1
224,1 348,1 542,1 402,1 346,1 395,1 427,1 2,2
224,1 380,1 514,1 184,1 424,1 371,1 367,1 1,1
552,1 533,1 544,1 322,1 0,0 0,0 0,0 1,1
291,1 542,1 436,1 490,3 276,2 237,1 346,2 1,1
224,1 542,1 436,1 418,1 448,1 424,1 344,1 1,1
224,1 514,1 184,1 424,1 371,1 367,1 0,0 25,35
552,1 533,1 544,1 542,1 0,0 0,0 0,0 5,7
224,1 342,1 542,1 359,1 358,1 346,1 427,1 7,10
224,1 184,1 373,1 371,1 183,1 0,0 0,0 2,3
552,1 533,1 542,1 543,1 0,0 0,0 0,0 2,3
224,1 514,1 184,1 371,1 427,1 346,1 0,0 5,9
224,1 361,1 353,1 354,1 357,1 141,1 138,1 43,81
552,1 533,1 544,1 0,0 0,0 0,0 0,0 6,12
552,1 533,1 544,1 546,1 0,0 0,0 0,0 1,2
224,1 348,1 353,1 341,1 359,1 358,1 427,1 1,2
552,1 533,1 544,1 409,1 542,1 0,0 0,0 1,2
552,1 533,1 543,1 0,0 0,0 0,0 0,0 1,2
224,1 184,1 371,1 346,1 424,1 427,1 0,0 1,2
224,1 184,1 514,1 371,1 183,1 427,1 0,0 27,55
224,1 348,1 426,1 395,1 161,1 346,1 163,1 18,39
224,1 361,1 136,1 354,1 359,1 138,1 357,1 111,264
224,1 361,1 542,1 341,1 359,1 358,1 346,1 3,8
224,1 348,1 546,1 158,1 161,1 163,1 0,0 1,3
224,1 348,1 414,1 415,1 417,1 0,0 0,0 3,9
552,1 533,1 320,1 409,1 426,1 0,0 0,0 2,7
554,1 348,2 362,1 351,2 346,2 0,0 0,0 1,4
552,1 533,1 0,0 0,0 0,0 0,0 0,0 1,4
224,1 380,1 184,1 371,1 346,1 424,1 427,1 2,15
442,1 443,1 339,1 337,3 346,1 394,1 392,1 0,1
503,2 348,2 362,1 426,2 429,1 346,3 0,0 0,1
224,1 542,1 342,1 359,1 346,1 358,1 427,1 0,1
552,1 533,1 544,1 351,1 0,0 0,0 0,0 0,4
224,2 348,2 362,1 359,2 429,2 0,0 0,0 0,1
554,1 339,1 459,1 346,2 337,3 386,1 0,0 0,1
224,1 289,1 197,1 351,1 161,1 0,0 0,0 0,1
552,1 348,1 346,1 426,1 350,1 381,1 0,0 0,3
552,1 180,1 0,0 0,0 0,0 0,0 0,0 0,1
224,1 514,1 184,1 424,1 371,1 426,1 0,0 0,1
552,2 544,2 545,1 542,2 0,0 0,0 0,0 0,1
442,1 436,1 346,2 448,1 371,3 336,1 378,1 0,1
224,1 184,1 367,1 371,1 183,1 346,1 427,1 0,1
442,1 342,1 445,1 354,3 346,2 0,0 0,0 0,1
224,1 348,1 150,1 344,1 415,1 414,1 0,0 0,1
224,1 343,1 426,1 409,1 345,1 415,1 417,1 0,1
442,1 436,1 462,1 359,2 429,1 445,1 0,0 0,1
503,2 348,2 346,3 351,2 336,1 335,3 0,0 0,1
224,1 361,1 0,0 0,0 0,0 0,0 0,0 0,1
554,1 289,2 482,2 351,1 0,0 0,0 0,0 0,1
552,2 436,1 450,1 351,2 0,0 0,0 0,0 0,1
442,1 436,1 434,1 435,1 546,1 0,0 0,0 0,1
224,1 184,1 180,1 346,1 371,1 426,1 427,1 0,1
224,1 184,1 367,1 371,1 183,1 185,1 426,1 0,1
552,2 353,3 362,1 359,1 429,1 496,1 366,1 0,1
224,2 348,2 346,2 351,2 429,1 457,2 0,0 0,2
552,2 381,1 0,0 0,0 0,0 0,0 0,0 0,1
552,2 436,1 448,1 351,2 350,2 426,3 0,0 0,1
552,1 348,1 450,1 0,0 0,0 0,0 0,0 0,1
224,1 348,1 425,1 361,1 0,0 0,0 0,0 0,1
442,1 348,2 347,2 546,1 490,3 198,1 0,0 0,1
552,1 348,1 346,1 426,1 350,1 395,1 0,0 0,1
224,1 348,1 341,1 359,1 346,1 358,1 353,1 0,1
442,1 436,1 448,1 351,2 350,1 542,2 0,0 0,1
552,1 348,1 346,1 426,1 350,1 367,1 0,0 0,2
224,1 348,1 542,1 519,1 387,1 426,1 0,0 0,1
552,2 405,1 346,2 351,2 429,1 248,1 555,1 0,1
552,1 395,1 0,0 0,0 0,0 0,0 0,0 0,2
224,1 514,1 184,1 371,1 346,1 427,1 0,0 0,1
554,1 542,1 339,1 387,2 427,2 448,1 394,1 0,1
240,2 444,1 419,1 426,2 346,3 0,0 0,0 0,1
224,1 395,1 426,1 162,1 161,1 158,1 163,1 0,1
224,2 348,2 426,3 395,3 161,1 346,2 163,1 0,1
552,1 533,1 409,1 543,1 0,0 0,0 0,0 0,1
552,2 436,1 264,1 351,2 429,2 273,1 383,3 0,1
552,2 332,2 482,2 351,2 346,2 408,1 0,0 0,1
442,1 348,2 365,1 359,1 426,2 366,1 0,0 0,1
224,1 340,1 542,1 359,1 358,1 195,1 427,1 0,3
442,1 379,1 450,1 373,2 380,1 546,1 0,0 0,1
291,1 542,1 436,1 357,3 351,2 237,1 0,0 0,1
224,1 361,1 366,1 357,1 138,1 555,1 362,1 0,1
552,2 348,2 243,1 426,3 422,1 409,3 0,0 0,1
554,1 391,1 393,1 426,3 346,2 381,3 0,0 0,1
552,1 348,1 346,1 426,1 350,1 409,1 0,0 0,1
503,2 391,1 393,1 351,2 346,3 426,3 0,0 0,2
