439,2 368,3 430,1 371,3 0,0 0,0 0,0 1,2
189,1 184,1 371,1 179,1 378,1 0,0 0,0 1,2
439,2 376,1 371,3 427,1 0,0 0,0 0,0 1,2
439,1 184,1 183,1 371,1 378,1 0,0 0,0 1,2
549,2 515,2 544,2 513,2 0,0 0,0 0,0 1,2
439,2 515,1 371,3 430,1 0,0 0,0 0,0 1,2
189,1 184,1 179,1 183,1 371,1 0,0 0,0 3,6
439,1 375,1 190,1 183,1 0,0 0,0 0,0 1,2
189,1 180,1 375,1 179,1 378,1 183,1 427,1 2,4
189,1 180,1 184,1 179,1 192,1 0,0 0,0 3,6
439,1 376,1 183,1 371,1 0,0 0,0 0,0 11,24
439,1 184,1 371,1 427,1 183,1 0,0 0,0 5,11
439,1 368,1 183,1 379,1 371,1 0,0 0,0 4,9
189,1 184,1 179,1 371,1 183,1 0,0 0,0 7,17
439,2 515,1 430,1 371,3 0,0 0,0 0,0 4,11
439,2 375,2 371,3 429,2 0,0 0,0 0,0 1,3
549,1 515,1 544,1 541,1 0,0 0,0 0,0 1,4
439,2 375,2 371,3 429,1 0,0 0,0 0,0 4,18
439,2 515,3 430,1 371,3 0,0 0,0 0,0 1,5
549,1 515,1 544,1 513,1 0,0 0,0 0,0 3,16
549,1 515,1 544,1 0,0 0,0 0,0 0,0 1,10
439,1 428,1 515,1 184,1 0,0 0,0 0,0 1,10
439,1 184,1 378,1 183,1 371,1 0,0 0,0 0,1
189,1 349,1 380,1 0,0 0,0 0,0 0,0 0,1
189,1 180,1 375,1 179,1 378,1 427,1 183,1 0,1
439,1 368,1 375,1 429,1 0,0 0,0 0,0 0,1
439,1 428,1 180,1 194,1 192,1 427,1 0,0 0,1
189,1 180,1 193,1 375,1 0,0 0,0 0,0 0,2
439,2 375,2 513,1 371,3 0,0 0,0 0,0 0,1
439,1 184,1 375,1 180,1 0,0 0,0 0,0 0,1
439,1 544,1 190,1 428,1 0,0 0,0 0,0 0,2
439,1 375,1 428,1 180,1 183,1 427,1 0,0 0,1
439,1 184,1 375,1 183,1 0,0 0,0 0,0 0,1
