439,2 368,3 351,2 430,1 448,1 371,3 372,2 1,1
439,2 368,3 430,1 371,3 448,1 351,2 372,2 1,1
439,2 368,3 430,1 372,2 448,1 351,2 371,3 1,1
439,2 368,3 373,2 371,3 379,1 448,1 372,2 1,1
439,2 368,3 371,3 430,1 351,2 448,1 372,2 1,1
439,2 368,3 351,2 430,1 372,2 371,3 448,1 1,1
439,2 184,1 514,2 373,1 372,1 371,2 183,1 1,1
439,2 368,3 351,2 372,2 371,3 430,1 448,1 1,1
259,2 184,2 379,1 279,2 371,3 237,1 186,2 1,1
189,1 514,1 351,1 543,1 513,1 544,1 0,0 1,1
439,1 184,1 373,1 448,1 371,1 372,1 427,1 1,1
439,2 375,2 351,2 429,1 372,2 430,1 448,1 1,1
439,2 375,2 351,2 430,1 372,2 429,1 448,1 1,1
439,2 375,2 372,2 351,2 448,1 429,1 430,1 1,1
439,2 514,2 184,1 372,1 373,1 371,1 183,1 1,1
439,2 368,3 372,2 430,1 351,2 448,1 371,3 1,1
439,2 375,2 429,1 351,2 371,3 448,1 372,2 1,1
439,2 368,3 373,2 371,3 448,1 379,1 372,2 1,1
439,2 515,1 430,1 448,1 372,2 371,3 351,2 1,1
439,1 184,1 372,1 542,1 373,1 183,1 371,1 1,1
439,2 368,3 430,1 448,1 371,3 351,2 372,2 1,1
439,2 184,1 373,2 183,1 448,1 371,3 372,2 1,1
439,2 376,2 373,2 379,1 371,3 429,2 336,1 1,1
439,2 368,3 448,1 430,1 372,2 351,2 371,3 1,1
439,1 184,1 542,1 373,1 372,1 371,1 183,1 1,1
439,1 184,1 373,1 371,1 372,1 496,1 0,0 1,1
439,2 515,1 448,1 430,1 371,3 372,2 351,2 1,1
439,2 375,2 187,2 371,3 373,2 379,1 429,2 1,1
439,2 370,3 372,2 373,2 371,3 430,2 336,1 1,1
439,2 368,3 351,2 372,2 371,3 448,1 430,1 1,1
439,2 368,3 351,2 371,3 372,2 448,1 430,1 1,1
439,2 376,1 372,1 371,3 373,2 542,1 0,0 1,1
439,1 375,1 514,1 371,1 373,1 379,1 429,1 1,1
439,2 368,3 351,2 448,1 430,1 372,2 371,3 1,1
439,2 515,1 372,2 351,2 371,3 448,1 430,1 1,1
439,2 376,1 351,2 372,2 430,1 448,1 427,1 1,1
439,1 367,1 184,1 372,1 371,1 373,1 429,1 1,1
439,1 184,1 188,1 424,1 379,1 371,1 183,1 1,1
439,2 184,1 372,2 373,2 183,1 371,3 427,2 1,1
439,2 184,1 373,2 514,3 183,1 371,3 372,1 2,2
439,2 184,2 179,3 371,3 379,1 187,2 249,1 1,1
509,1 368,3 367,3 379,1 186,1 448,1 372,2 2,2
509,1 375,2 379,1 371,3 351,2 542,2 374,2 1,1
509,1 368,3 297,1 379,1 186,2 448,1 372,2 1,1
439,2 184,1 379,1 430,2 371,3 372,1 0,0 1,1
439,2 334,3 371,3 379,1 448,1 372,2 336,1 2,2
509,1 514,3 376,2 427,2 379,1 371,3 423,3 1,1
439,2 184,1 372,2 373,2 371,3 448,1 183,1 1,1
189,1 349,1 451,1 0,0 0,0 0,0 0,0 2,2
189,1 451,1 0,0 0,0 0,0 0,0 0,0 2,2
189,1 349,1 334,1 451,1 0,0 0,0 0,0 1,1
439,2 542,1 184,1 371,1 373,1 183,1 372,1 1,1
439,1 184,1 379,1 373,1 429,1 371,1 195,1 1,1
259,2 514,3 184,2 379,1 371,3 186,2 456,2 1,1
439,2 184,1 373,2 427,1 183,1 371,2 372,2 1,1
439,2 376,1 380,1 372,1 373,2 371,3 336,1 1,1
189,1 544,1 451,1 0,0 0,0 0,0 0,0 1,1
439,2 184,1 179,1 371,3 379,1 187,1 249,1 1,1
439,2 184,1 372,2 373,2 183,1 371,3 427,1 1,1
439,2 515,3 184,1 430,2 379,1 371,3 448,1 1,1
439,2 184,1 373,2 183,1 371,1 372,1 514,1 1,1
439,2 184,1 373,2 448,1 183,1 371,3 372,2 7,8
439,2 184,1 373,2 427,2 183,1 371,3 372,2 5,6
439,1 184,1 372,1 373,1 371,1 183,1 336,1 3,4
439,1 514,1 184,1 183,1 371,1 373,1 372,1 3,4
439,2 184,1 373,2 427,1 183,1 371,3 372,2 3,4
439,2 376,1 373,2 379,1 371,3 429,1 336,1 34,46
439,2 376,1 373,2 379,1 371,3 429,2 336,1 11,16
189,1 515,1 514,1 543,1 542,1 544,1 0,0 2,3
439,2 184,1 373,2 427,2 183,1 371,2 372,2 2,3
439,1 376,1 373,1 379,1 371,1 429,1 336,1 6,10
439,2 184,1 373,1 514,2 183,1 371,3 372,1 6,10
439,2 184,1 373,2 514,3 183,1 371,3 372,2 3,5
439,1 514,1 184,1 372,1 373,1 183,1 371,1 4,7
439,1 184,1 373,1 183,1 371,1 372,1 514,1 5,9
439,2 184,1 373,1 514,3 183,1 371,3 372,1 10,18
439,1 184,1 372,1 373,1 371,1 542,1 183,1 32,58
439,1 514,1 184,1 372,1 373,1 371,1 183,1 22,40
439,1 184,1 542,1 373,1 371,1 183,1 372,1 6,11
