262,1 184,1 450,1 273,1 378,1 427,1 346,1 1,1
552,1 542,1 537,1 543,1 544,1 539,1 0,0 1,1
262,1 394,1 339,1 519,1 520,1 385,1 0,0 1,1
262,2 348,2 401,2 158,3 351,2 408,1 461,1 1,1
224,2 348,1 514,3 373,1 542,2 371,3 346,2 3,3
442,1 343,3 436,1 420,1 414,2 433,1 426,3 1,1
262,1 339,1 387,1 338,1 385,1 457,1 0,0 1,1
224,1 348,1 514,1 371,1 542,1 373,1 346,1 1,1
262,1 339,1 338,1 387,1 176,1 346,1 424,1 1,1
291,1 492,1 414,2 421,1 422,1 0,0 0,0 2,2
442,1 348,2 450,1 542,2 396,3 408,1 346,2 1,1
262,2 209,1 401,2 158,3 351,2 480,1 426,3 1,1
442,1 348,2 347,2 436,1 457,2 351,2 346,2 1,1
262,1 514,1 379,1 373,1 183,1 371,1 513,1 1,1
224,1 348,1 453,1 359,1 354,1 350,1 0,0 1,1
262,2 348,1 354,1 525,2 358,1 357,3 356,1 1,1
442,1 334,3 433,1 373,1 0,0 0,0 0,0 1,1
262,2 533,2 448,1 344,2 529,1 0,0 0,0 1,1
224,2 348,2 514,3 373,1 542,2 371,3 346,2 2,2
442,1 348,2 450,1 542,1 436,1 0,0 0,0 6,6
262,1 348,1 351,1 357,1 138,1 542,1 361,1 1,1
262,2 184,2 371,3 555,3 379,1 179,3 351,2 1,1
262,2 339,1 385,3 175,2 338,2 387,2 296,1 1,1
262,2 348,2 339,1 387,2 385,3 169,3 0,0 1,1
262,2 348,2 420,2 490,3 415,2 344,2 270,1 1,1
442,1 348,2 354,1 433,1 0,0 0,0 0,0 2,2
262,1 339,1 385,1 387,1 280,1 337,1 394,1 1,1
262,2 339,1 348,1 390,1 346,2 0,0 0,0 1,1
224,2 348,2 343,3 414,1 421,1 344,2 346,2 1,1
262,1 394,1 339,1 433,1 338,1 0,0 0,0 1,1
503,2 361,1 354,3 433,1 353,3 0,0 0,0 1,1
442,1 343,2 436,1 420,1 414,1 433,1 426,3 1,1
262,2 184,1 371,1 514,3 188,1 0,0 0,0 1,1
442,1 343,3 444,1 436,1 414,1 531,2 0,0 1,1
442,1 366,1 342,1 436,1 433,1 0,0 0,0 1,1
442,1 436,1 433,1 421,1 422,1 0,0 0,0 1,1
552,1 542,1 514,1 543,1 544,1 515,1 0,0 1,1
262,1 367,1 514,1 376,1 371,1 424,1 379,1 1,1
442,1 348,2 433,1 428,1 0,0 0,0 0,0 1,1
262,1 348,1 339,1 387,1 280,1 381,1 394,1 1,1
262,1 339,1 390,1 387,1 338,1 346,1 0,0 1,1
262,2 399,3 401,2 490,3 555,3 402,2 538,2 1,1
262,1 381,1 339,1 338,1 387,1 385,1 542,1 1,1
224,1 343,1 151,1 436,1 542,1 421,1 344,1 23,24
224,1 343,1 413,1 151,1 414,1 345,1 150,1 3,5
224,1 349,1 346,1 343,1 414,1 433,1 0,0 36,64
224,1 348,1 514,1 373,1 542,1 371,1 346,1 34,62
224,1 343,1 346,1 349,1 433,1 414,1 0,0 2,4
224,1 348,1 542,1 414,1 531,1 344,1 411,1 1,2
262,1 348,1 333,1 402,1 429,1 0,0 0,0 1,2
224,1 340,1 350,1 361,1 354,1 196,1 0,0 1,2
503,1 492,1 542,1 436,1 354,2 366,1 0,0 1,2
442,1 348,1 433,1 428,2 0,0 0,0 0,0 1,2
552,1 544,1 351,1 514,1 543,1 451,1 0,0 1,2
224,1 542,1 453,1 527,1 543,1 544,1 0,0 1,2
224,2 348,2 514,3 373,1 542,2 371,1 346,2 1,2
442,1 348,2 450,1 542,2 436,1 0,0 0,0 1,2
224,1 348,1 151,1 542,1 414,1 415,1 541,1 1,2
224,1 361,1 340,1 354,1 350,1 196,1 0,0 8,20
224,1 180,1 348,1 334,1 373,1 196,1 0,0 6,15
224,1 348,1 343,1 344,1 345,1 414,1 346,1 1,3
224,1 343,1 532,1 345,1 531,1 351,1 0,0 1,4
224,1 348,1 426,1 343,1 350,1 414,1 345,1 1,5
224,1 544,1 453,1 527,1 0,0 0,0 0,0 1,5
224,1 348,1 542,1 414,1 345,1 344,1 411,1 0,7
240,1 354,1 492,1 491,1 0,0 0,0 0,0 0,1
224,1 343,1 533,1 345,1 344,1 0,0 0,0 0,3
224,1 542,1 533,1 344,1 345,1 414,1 427,1 0,1
224,1 353,1 0,0 0,0 0,0 0,0 0,0 0,3
224,1 180,1 0,0 0,0 0,0 0,0 0,0 0,4
442,1 348,2 433,1 428,2 0,0 0,0 0,0 0,1
442,1 451,3 514,2 492,1 542,1 448,1 380,1 0,1
224,1 343,1 544,1 543,1 0,0 0,0 0,0 0,1
224,1 343,1 0,0 0,0 0,0 0,0 0,0 0,1
224,1 346,1 413,1 343,1 414,1 345,1 350,1 0,1
224,1 343,1 542,1 345,1 533,1 544,1 0,0 0,1
442,1 334,3 433,1 373,2 0,0 0,0 0,0 0,2
442,1 380,1 370,3 436,1 433,1 373,2 0,0 0,1
224,1 348,1 436,1 542,1 337,1 350,1 546,1 0,1
262,1 348,1 343,1 424,1 344,1 417,1 457,1 0,1
262,2 348,2 349,3 0,0 0,0 0,0 0,0 0,1
224,1 339,1 338,1 387,1 172,1 424,1 337,1 0,1
552,2 426,2 367,2 546,1 373,2 514,3 433,1 0,1
554,1 339,1 349,3 491,1 172,1 0,0 0,0 0,1
224,1 348,1 542,1 345,1 531,1 414,1 0,0 0,1
224,1 343,1 409,1 345,1 344,1 542,1 351,1 0,1
224,2 180,3 348,1 334,1 373,2 196,2 0,0 0,1
224,1 348,1 151,1 150,1 414,1 345,1 0,0 0,1
224,1 542,1 413,1 151,1 417,1 424,1 150,1 0,1
224,1 348,1 542,1 350,1 452,1 337,1 392,1 0,1
552,1 339,1 351,1 337,1 544,1 452,1 0,0 0,1
224,1 348,1 542,1 414,1 345,1 344,1 343,1 0,2
442,1 348,2 354,3 433,1 0,0 0,0 0,0 0,1
224,1 339,1 337,1 387,1 491,1 172,1 273,1 0,1
442,1 348,1 354,2 433,1 0,0 0,0 0,0 0,1
552,1 544,1 514,1 543,1 515,1 0,0 0,0 0,1
262,2 405,2 158,3 484,1 401,2 490,3 351,2 0,1
224,1 162,1 163,1 196,1 402,1 396,1 400,1 0,1
224,1 409,1 0,0 0,0 0,0 0,0 0,0 0,1
