291,1 436,1 351,2 555,1 366,1 0,0 0,0 1,1
224,2 353,3 136,1 426,3 359,1 138,1 357,3 1,1
224,1 361,1 426,1 359,1 138,1 546,1 0,0 1,1
224,2 348,2 436,1 0,0 0,0 0,0 0,0 1,1
224,2 348,2 341,2 353,3 0,0 0,0 0,0 1,1
224,1 353,1 136,1 546,1 359,1 138,1 357,1 1,1
291,1 436,1 490,3 183,1 0,0 0,0 0,0 1,1
442,1 348,1 347,1 426,1 0,0 0,0 0,0 1,1
224,1 348,1 402,1 408,1 0,0 0,0 0,0 1,1
200,1 348,2 490,3 227,3 426,3 395,3 408,1 1,1
552,1 339,1 0,0 0,0 0,0 0,0 0,0 3,3
224,2 343,3 345,2 415,2 0,0 0,0 0,0 1,1
552,2 339,1 517,1 0,0 0,0 0,0 0,0 1,1
224,1 348,1 232,1 0,0 0,0 0,0 0,0 1,1
224,2 361,2 359,2 341,2 0,0 0,0 0,0 1,1
291,1 361,2 490,3 290,1 366,1 0,0 0,0 1,1
442,1 348,2 455,2 351,2 0,0 0,0 0,0 1,1
552,1 339,1 546,1 0,0 0,0 0,0 0,0 1,1
224,1 366,1 361,1 141,1 359,1 426,1 0,0 1,1
224,1 353,1 366,1 426,1 341,1 359,1 458,1 1,1
224,1 353,1 546,1 341,1 359,1 138,1 555,1 1,1
224,1 426,1 136,1 341,1 359,1 458,1 0,0 1,1
224,1 353,1 341,1 359,1 458,1 136,1 0,0 6,8
224,1 348,1 426,1 158,1 395,1 0,0 0,0 3,4
224,1 361,1 353,1 136,1 436,1 0,0 0,0 31,42
224,1 353,1 136,1 426,1 359,1 138,1 357,1 13,19
224,1 353,1 426,1 546,1 359,1 138,1 357,1 76,113
552,1 339,1 459,1 0,0 0,0 0,0 0,0 2,3
224,1 361,1 341,1 359,1 0,0 0,0 0,0 4,6
224,1 361,1 359,1 353,1 351,1 0,0 0,0 2,3
224,1 348,1 436,1 0,0 0,0 0,0 0,0 24,38
224,1 361,1 138,1 357,1 366,1 0,0 0,0 4,7
224,1 348,1 414,1 411,1 0,0 0,0 0,0 14,25
224,1 361,1 359,1 141,1 353,1 0,0 0,0 7,13
224,1 361,1 141,1 359,1 426,1 0,0 0,0 50,95
224,1 348,1 387,1 172,1 0,0 0,0 0,0 6,12
552,1 512,1 544,1 0,0 0,0 0,0 0,0 1,2
224,1 361,1 426,1 141,1 359,1 0,0 0,0 3,6
224,1 361,1 359,1 341,1 0,0 0,0 0,0 8,16
224,1 398,1 426,1 395,1 158,1 402,1 0,0 2,4
224,1 348,1 402,1 0,0 0,0 0,0 0,0 2,4
224,1 348,1 359,1 353,1 426,1 0,0 0,0 1,2
224,1 136,1 436,1 138,1 359,1 426,1 353,1 1,2
224,1 353,1 426,1 136,1 359,1 138,1 357,1 9,18
224,1 361,1 141,1 359,1 353,1 0,0 0,0 4,9
224,1 361,1 138,1 357,1 0,0 0,0 0,0 26,59
224,1 353,1 546,1 136,1 359,1 138,1 357,1 3,7
224,1 361,1 426,1 359,1 138,1 353,1 0,0 3,7
224,1 361,1 546,1 359,1 353,1 138,1 0,0 16,39
224,1 348,1 414,1 426,1 343,1 0,0 0,0 2,5
224,1 348,1 414,1 546,1 426,1 409,1 0,0 6,20
224,1 361,1 353,1 426,1 138,1 359,1 0,0 4,14
552,1 544,1 527,1 0,0 0,0 0,0 0,0 4,15
224,1 353,1 426,1 341,1 359,1 458,1 0,0 1,4
552,1 544,1 513,1 0,0 0,0 0,0 0,0 2,9
224,1 353,1 136,1 426,1 359,1 357,1 138,1 1,5
224,1 361,1 353,1 359,1 138,1 546,1 0,0 0,2
224,2 368,3 371,3 426,3 0,0 0,0 0,0 0,1
224,1 343,1 345,1 415,1 0,0 0,0 0,0 0,1
224,1 343,1 411,1 457,1 490,1 409,1 0,0 0,2
224,1 361,1 426,1 359,1 138,1 136,1 0,0 0,1
224,1 426,1 353,1 136,1 359,1 138,1 357,1 0,2
224,1 361,1 353,1 341,1 546,1 426,1 0,0 0,1
224,1 348,1 353,1 359,1 426,1 0,0 0,0 0,1
200,1 348,2 351,2 0,0 0,0 0,0 0,0 0,1
224,1 398,1 426,1 395,1 158,1 402,1 546,1 0,1
224,1 368,1 371,1 426,1 0,0 0,0 0,0 0,1
224,1 348,1 457,1 426,1 0,0 0,0 0,0 0,1
552,2 339,1 459,1 0,0 0,0 0,0 0,0 0,1
552,2 544,3 527,3 0,0 0,0 0,0 0,0 0,1
552,1 184,1 0,0 0,0 0,0 0,0 0,0 0,1
224,1 527,1 544,1 453,1 0,0 0,0 0,0 0,4
552,1 544,1 530,1 0,0 0,0 0,0 0,0 0,3
552,2 544,1 530,1 0,0 0,0 0,0 0,0 0,1
224,1 348,1 288,1 0,0 0,0 0,0 0,0 0,1
552,2 544,2 530,1 0,0 0,0 0,0 0,0 0,1
442,1 348,2 436,1 0,0 0,0 0,0 0,0 0,1
552,2 544,2 513,1 0,0 0,0 0,0 0,0 0,1
224,1 348,1 158,1 426,1 395,1 0,0 0,0 0,1
442,1 436,1 415,1 420,1 414,1 0,0 0,0 0,1
224,1 348,1 457,1 0,0 0,0 0,0 0,0 0,1
262,1 348,1 426,1 175,1 0,0 0,0 0,0 0,1
240,1 422,1 283,2 411,1 409,1 351,1 273,1 0,1
224,1 348,1 414,1 409,1 426,1 0,0 0,0 0,2
224,1 353,1 546,1 359,1 357,1 138,1 426,1 0,2
224,1 348,1 341,1 353,1 0,0 0,0 0,0 0,1
224,1 353,1 426,1 359,1 138,1 357,1 136,1 0,1
