552,1 339,1 542,1 381,1 337,1 0,0 0,0 1,1
442,1 348,2 347,2 351,2 344,2 422,1 0,0 1,1
552,1 514,1 314,1 543,1 0,0 0,0 0,0 1,1
552,1 339,1 542,1 337,1 0,0 0,0 0,0 1,1
224,1 348,1 422,1 420,1 418,1 344,1 346,1 1,1
552,1 514,1 312,1 543,1 0,0 0,0 0,0 5,5
442,1 436,1 359,2 358,2 525,1 346,2 364,1 1,1
552,1 339,1 542,1 518,1 0,0 0,0 0,0 1,1
552,1 514,1 542,1 351,1 543,1 0,0 0,0 1,1
552,1 339,1 459,1 542,1 337,1 0,0 0,0 1,1
224,1 184,1 426,1 427,1 371,1 346,1 0,0 1,1
224,1 348,1 339,1 542,1 0,0 0,0 0,0 1,1
552,1 514,1 513,1 351,1 543,1 0,0 0,0 1,1
442,1 436,1 347,2 457,2 351,2 346,2 0,0 1,1
224,1 436,1 448,1 421,1 418,1 409,1 422,1 1,1
224,1 542,1 342,1 359,1 346,1 424,1 0,0 1,1
552,2 514,1 544,1 515,1 0,0 0,0 0,0 1,1
224,1 348,1 546,1 426,1 158,1 163,1 346,1 2,2
291,1 436,1 351,2 401,2 555,1 408,1 426,3 1,1
224,2 348,2 344,2 414,1 411,3 346,2 0,0 1,1
224,1 542,1 533,1 344,1 414,1 409,1 0,0 1,1
503,2 394,1 436,1 337,3 387,2 426,3 520,3 1,1
224,1 514,1 184,1 371,1 346,1 0,0 0,0 2,2
552,1 514,1 544,1 543,1 0,0 0,0 0,0 1,1
442,1 348,2 539,3 436,1 395,3 408,1 0,0 1,1
224,1 380,1 348,1 514,1 371,1 346,1 0,0 1,1
224,1 184,1 371,1 183,1 346,1 367,1 0,0 1,1
552,1 544,1 532,1 0,0 0,0 0,0 0,0 1,1
552,1 339,1 542,1 519,1 0,0 0,0 0,0 1,1
552,1 515,1 349,1 0,0 0,0 0,0 0,0 1,1
224,1 348,1 353,1 359,1 364,1 358,1 346,1 1,1
224,1 361,1 341,1 353,1 359,1 358,1 346,1 1,1
442,1 348,2 347,2 414,2 344,2 546,2 422,1 1,1
224,1 395,1 348,1 402,1 346,1 427,1 0,0 2,3
224,1 348,1 344,1 424,1 346,1 409,1 426,1 8,13
224,1 348,1 542,1 414,1 344,1 346,1 0,0 51,90
224,1 184,1 426,1 346,1 371,1 427,1 0,0 40,71
224,1 348,1 344,1 414,1 411,1 346,1 0,0 14,27
224,1 184,1 427,1 346,1 371,1 426,1 0,0 1,2
224,1 372,1 513,1 371,1 0,0 0,0 0,0 1,2
442,1 348,2 539,2 436,1 395,3 408,1 0,0 1,2
224,1 348,1 458,1 138,1 358,1 346,1 0,0 1,2
224,1 361,1 427,1 426,1 359,1 357,1 138,1 1,2
224,1 542,1 348,1 346,1 344,1 414,1 0,0 1,2
442,1 348,2 347,2 346,2 428,1 426,2 0,0 1,2
224,1 348,1 514,1 371,1 346,1 0,0 0,0 4,9
224,1 361,1 341,1 353,1 346,1 359,1 358,1 3,7
224,1 348,1 395,1 402,1 424,1 346,1 0,0 13,31
224,1 348,1 427,1 353,1 359,1 346,1 358,1 2,5
224,1 426,1 427,1 424,1 158,1 161,1 163,1 4,10
224,1 348,1 371,1 424,1 346,1 0,0 0,0 4,10
