189,1 370,1 179,1 183,1 0,0 0,0 0,0 0,1
439,1 370,1 367,1 369,1 0,0 0,0 0,0 0,2
189,1 367,1 369,1 424,1 427,1 0,0 0,0 0,1
439,1 181,1 196,1 0,0 0,0 0,0 0,0 0,1
500,1 514,2 542,1 427,1 0,0 0,0 0,0 0,1
439,1 380,1 367,1 0,0 0,0 0,0 0,0 0,2
439,2 367,3 451,3 369,3 426,3 0,0 0,0 0,2
439,1 367,1 451,1 370,1 0,0 0,0 0,0 0,1
439,1 193,1 196,1 0,0 0,0 0,0 0,0 0,1
439,1 367,1 179,1 426,1 183,1 0,0 0,0 0,1
439,2 451,1 367,3 369,3 380,1 0,0 0,0 0,1
439,1 514,1 513,1 367,1 0,0 0,0 0,0 0,1
439,1 451,1 370,1 367,1 0,0 0,0 0,0 0,1
439,1 380,1 379,1 513,1 0,0 0,0 0,0 0,1
439,1 367,1 0,0 0,0 0,0 0,0 0,0 0,1
439,2 367,3 451,2 370,3 0,0 0,0 0,0 0,1
439,1 370,1 183,1 185,1 0,0 0,0 0,0 0,1
439,2 367,3 380,1 448,1 379,1 0,0 0,0 0,1
259,1 370,1 380,1 191,1 351,1 0,0 0,0 0,1
439,2 370,1 183,1 336,1 0,0 0,0 0,0 0,1
439,1 451,1 367,1 370,1 0,0 0,0 0,0 0,1
439,1 367,1 181,1 426,1 183,1 0,0 0,0 0,1
439,1 428,1 179,1 0,0 0,0 0,0 0,0 0,1
439,2 451,3 183,1 426,1 380,1 378,1 0,0 0,1
189,1 367,1 179,1 180,1 0,0 0,0 0,0 0,1
189,1 370,1 179,1 180,1 0,0 0,0 0,0 0,1
189,1 367,1 180,1 179,1 378,1 0,0 0,0 0,1
439,1 541,1 513,1 0,0 0,0 0,0 0,0 0,4
259,1 370,1 514,1 542,1 0,0 0,0 0,0 0,1
189,1 367,1 0,0 0,0 0,0 0,0 0,0 0,1
