438,2 361,2 354,3 357,3 341,1 360,2 139,1 1,1
438,1 361,1 542,1 523,1 524,1 525,1 427,1 2,2
438,2 342,1 542,1 357,3 354,3 360,1 525,1 1,1
438,2 342,1 542,1 357,1 354,1 360,1 525,1 1,1
438,1 361,1 355,1 357,1 523,1 525,1 138,1 2,2
438,2 361,2 340,1 357,1 354,3 458,2 360,2 1,1
438,2 361,1 340,1 357,2 354,3 458,1 360,1 1,1
438,2 361,2 430,1 351,2 357,3 525,1 350,2 1,1
438,1 361,1 542,1 523,1 359,1 357,1 525,1 6,6
438,2 361,2 357,3 351,2 423,1 350,2 525,1 1,1
438,2 361,1 354,3 357,3 341,2 360,2 139,2 1,1
438,2 353,3 429,2 359,2 350,2 242,1 543,3 1,1
438,2 349,3 357,3 430,1 350,2 525,2 358,2 1,1
438,2 361,1 354,3 357,2 542,2 523,1 356,1 1,1
438,1 361,1 354,1 357,1 542,1 523,1 135,1 6,6
438,2 361,2 524,1 242,1 351,2 525,1 358,2 1,1
438,2 361,2 242,1 354,3 357,3 525,1 358,2 1,1
553,1 361,2 354,3 445,1 341,2 357,3 351,1 1,1
438,2 361,1 354,1 357,2 542,1 523,1 356,1 1,1
553,1 342,1 542,2 476,3 353,3 357,3 361,2 1,1
438,2 361,2 524,2 351,1 458,2 430,1 362,1 1,1
553,1 361,2 355,3 340,3 357,3 351,1 453,3 1,1
438,2 354,3 242,1 357,3 351,2 430,1 525,1 1,1
438,2 361,1 354,3 357,2 542,1 523,1 356,3 2,2
438,2 361,2 458,1 359,2 242,1 357,3 525,1 1,1
438,2 361,2 351,2 341,2 354,3 357,3 445,1 1,1
438,2 361,2 354,3 357,2 341,2 360,1 139,1 1,1
438,2 361,2 354,3 357,3 360,2 366,1 362,1 1,1
438,2 361,2 430,1 357,3 351,2 350,2 525,1 1,1
438,2 361,1 340,1 357,3 354,3 458,2 360,1 1,1
438,2 354,3 242,1 357,3 430,1 351,2 525,1 1,1
438,2 361,2 523,1 351,2 357,3 525,2 358,2 1,1
438,2 342,1 542,1 357,1 354,3 360,1 525,1 2,2
438,2 361,1 425,2 357,2 351,1 354,2 353,2 1,1
438,1 361,1 542,1 523,1 424,1 525,1 357,1 2,2
438,2 342,1 542,2 357,3 354,2 360,2 525,1 1,1
553,1 350,2 542,1 478,1 360,2 358,2 0,0 3,3
438,2 361,2 354,2 357,2 341,2 360,1 139,1 1,1
438,2 361,1 340,2 357,2 354,1 458,2 360,2 1,1
553,1 361,2 354,3 359,2 525,1 360,2 357,3 1,1
438,2 361,2 357,3 141,2 423,3 358,2 360,2 1,1
438,2 342,1 542,1 357,3 354,1 360,2 525,2 1,1
438,2 361,1 523,1 542,1 357,2 453,3 138,1 1,1
553,1 361,2 354,3 357,3 525,2 351,2 445,1 1,1
553,1 361,2 542,2 357,3 351,2 525,1 354,3 1,1
553,1 361,2 354,3 357,3 525,1 351,2 445,1 1,1
438,2 361,2 354,3 359,2 358,2 525,1 357,3 1,1
438,2 361,2 353,3 351,2 357,2 354,2 523,1 1,1
438,2 361,1 354,3 357,3 542,1 523,1 135,2 1,1
553,1 361,1 425,3 357,3 351,2 525,2 354,3 1,1
438,2 361,2 357,3 362,2 350,2 525,1 351,2 1,1
438,2 361,1 340,3 357,3 354,3 458,1 360,1 1,1
438,2 361,2 425,3 357,3 351,1 354,3 353,2 1,1
438,2 361,2 542,2 523,1 357,3 354,3 358,2 1,1
438,2 342,1 542,2 357,3 354,1 360,1 525,2 2,2
438,2 342,1 542,1 357,3 354,2 360,1 525,2 1,1
145,1 349,1 453,1 0,0 0,0 0,0 0,0 1,1
145,1 354,1 138,1 356,1 135,1 141,1 360,1 1,1
438,2 361,1 340,2 357,2 354,2 458,2 360,2 1,1
438,2 361,1 354,2 357,3 542,1 523,1 135,1 1,1
438,2 342,1 542,1 357,3 354,3 360,2 525,1 1,1
438,2 361,2 542,1 523,1 341,2 458,2 525,1 1,1
438,2 361,1 354,3 357,1 360,1 525,2 0,0 1,1
438,2 361,2 340,3 357,2 354,1 458,1 360,2 1,1
438,2 342,1 542,2 357,3 354,3 360,2 525,1 1,1
438,2 361,2 354,3 357,2 542,2 523,1 356,3 1,1
438,1 361,1 523,1 542,1 357,1 453,1 138,1 9,10
438,1 361,1 340,1 357,1 542,1 523,1 427,1 4,5
438,1 361,1 542,1 523,1 341,1 458,1 525,1 3,4
438,2 342,1 542,1 357,2 354,3 360,2 525,1 3,4
438,2 342,1 542,2 357,3 354,3 360,1 525,2 6,8
438,1 361,1 542,1 341,1 525,1 360,1 350,1 6,9
438,1 361,1 354,1 357,1 542,1 523,1 356,1 6,9
438,1 361,1 524,1 429,1 525,1 194,1 360,1 5,8
438,1 361,1 524,1 429,1 525,1 360,1 541,1 14,24
438,1 342,1 542,1 357,1 354,1 360,1 525,1 76,131
145,1 425,1 361,1 357,1 354,1 359,1 360,1 1,2
438,2 361,2 355,3 458,1 341,2 359,2 362,1 1,2
438,1 361,1 523,1 542,1 357,1 340,1 427,1 1,2
438,1 361,1 524,1 341,1 458,1 525,1 360,1 1,2
438,1 361,1 357,1 359,1 358,1 192,1 360,1 1,2
438,1 361,1 542,1 354,1 357,1 423,1 360,1 2,4
438,1 361,1 524,1 359,1 357,1 525,1 360,1 2,4
438,1 340,1 458,1 354,1 357,1 360,1 361,1 4,9
438,2 361,1 354,3 357,3 341,2 360,1 139,1 4,9
438,1 361,1 354,1 541,1 525,1 360,1 423,1 4,9
438,2 361,2 357,3 141,1 423,3 358,2 360,2 3,8
438,1 361,1 453,1 357,1 354,1 341,1 360,1 3,8
438,2 361,1 354,3 357,3 341,2 360,2 139,1 7,21
438,2 361,2 354,3 357,3 341,2 360,2 139,2 1,3
438,1 425,1 341,1 525,1 429,1 361,1 542,1 1,3
145,1 543,1 527,1 544,1 525,1 526,1 542,1 1,3
438,2 361,1 340,3 357,2 354,3 458,2 360,1 2,6
145,1 361,1 0,0 0,0 0,0 0,0 0,0 1,3
438,1 361,1 354,1 357,1 525,1 429,1 360,1 3,9
438,2 361,1 340,3 357,2 354,3 458,1 360,2 1,3
438,1 361,1 354,1 357,1 359,1 358,1 360,1 1,3
438,1 361,1 354,1 429,1 525,1 360,1 357,1 6,19
438,2 361,2 354,3 357,2 341,2 360,2 139,1 1,4
438,2 361,2 354,3 357,3 341,2 360,2 139,1 3,12
438,2 361,2 354,3 357,3 360,2 525,2 0,0 1,5
438,1 526,1 527,1 135,1 424,1 192,1 195,1 1,5
438,1 361,1 354,1 359,1 357,1 358,1 360,1 1,5
145,1 543,1 527,1 526,1 525,1 0,0 0,0 1,5
438,1 361,1 357,1 141,1 423,1 358,1 360,1 3,16
438,1 361,1 354,1 357,1 341,1 360,1 139,1 2,11
438,2 361,1 340,3 357,2 354,3 458,2 360,2 1,8
438,1 361,1 340,1 357,1 354,1 458,1 360,1 1,8
438,1 361,1 354,1 357,1 360,1 525,1 0,0 2,19
438,2 361,2 359,2 341,2 242,1 357,3 525,1 0,1
438,2 361,2 242,1 542,1 423,1 358,2 525,1 0,1
