441,1 413,1 344,1 414,1 427,1 0,0 0,0 0,1
156,1 349,1 351,1 426,1 0,0 0,0 0,0 0,2
441,2 412,3 344,2 417,1 426,1 0,0 0,0 0,1
261,1 533,1 270,1 0,0 0,0 0,0 0,0 0,1
441,1 413,1 344,1 414,1 427,1 422,1 0,0 0,1
441,2 412,3 344,2 417,2 426,1 0,0 0,0 0,1
441,1 190,1 417,1 0,0 0,0 0,0 0,0 0,1
441,2 343,3 420,1 344,2 149,1 427,2 414,2 0,1
441,1 190,1 409,1 148,1 0,0 0,0 0,0 0,1
551,1 409,1 426,1 542,1 320,1 0,0 0,0 0,1
441,2 455,2 409,3 414,2 411,3 343,3 344,2 0,2
551,1 542,1 321,1 0,0 0,0 0,0 0,0 0,1
156,1 542,1 413,1 414,1 411,1 409,1 0,0 0,1
463,1 422,1 343,3 351,2 411,2 414,1 427,1 0,1
156,2 413,2 344,2 411,3 409,3 426,1 0,0 0,1
441,2 413,3 414,1 417,1 0,0 0,0 0,0 0,1
441,2 413,3 414,1 417,2 0,0 0,0 0,0 0,3
441,2 413,3 417,2 414,2 0,0 0,0 0,0 0,1
551,2 542,1 533,3 0,0 0,0 0,0 0,0 0,3
441,2 343,3 413,3 417,2 422,1 0,0 0,0 0,1
156,1 413,1 409,1 414,1 417,1 0,0 0,0 0,1
156,1 344,1 424,1 152,1 0,0 0,0 0,0 0,3
441,2 412,3 455,2 409,3 414,2 343,3 344,2 0,1
441,2 343,3 344,1 427,1 417,1 422,1 0,0 0,1
441,2 412,3 455,2 409,3 414,2 343,3 344,1 0,1
441,2 343,2 344,2 427,2 417,1 422,1 0,0 0,1
441,1 147,1 414,1 426,1 415,1 542,1 0,0 0,1
441,2 343,1 344,2 427,1 417,2 422,1 0,0 0,1
441,2 343,3 344,2 427,2 417,2 422,1 0,0 0,1
156,2 413,3 344,2 411,2 409,3 426,2 0,0 0,2
441,2 412,3 455,2 409,3 414,2 343,1 344,1 0,1
441,2 444,1 411,3 422,1 0,0 0,0 0,0 0,1
441,2 413,2 414,1 417,1 0,0 0,0 0,0 0,1
441,1 413,1 415,1 344,1 0,0 0,0 0,0 0,1
551,2 532,2 0,0 0,0 0,0 0,0 0,0 0,1
441,1 413,1 409,1 426,1 415,1 149,1 0,0 0,1
156,1 409,1 426,1 414,1 429,1 150,1 415,1 0,1
156,1 426,1 0,0 0,0 0,0 0,0 0,0 0,1
441,1 409,1 190,1 426,1 194,1 0,0 0,0 0,1
441,1 343,1 344,1 427,1 417,1 0,0 0,0 0,1
156,2 413,3 344,2 411,3 409,3 426,3 0,0 0,1
156,1 409,1 414,1 426,1 415,1 427,1 149,1 0,1
