554,1 542,2 436,1 394,1 387,2 490,3 296,1 1,1
442,1 348,2 380,1 371,3 346,2 367,3 0,0 1,1
291,1 436,1 346,2 237,1 357,3 0,0 0,0 1,1
224,1 348,1 424,1 344,1 346,1 0,0 0,0 2,2
442,1 343,3 422,1 345,2 415,2 346,2 414,2 1,1
442,1 361,2 366,1 525,1 359,2 346,2 364,1 1,1
442,1 348,1 542,2 344,1 346,2 0,0 0,0 1,1
442,1 348,2 366,1 341,2 358,1 346,2 0,0 1,1
552,1 514,1 542,1 312,1 0,0 0,0 0,0 1,1
442,1 361,2 341,2 458,2 490,3 0,0 0,0 1,1
552,2 348,2 394,1 306,1 237,1 0,0 0,0 1,1
291,1 436,1 411,3 351,2 555,1 426,3 422,1 1,1
224,2 348,2 346,2 359,1 358,1 426,2 0,0 1,1
552,1 514,1 314,1 513,1 0,0 0,0 0,0 1,1
552,2 348,2 380,1 312,3 367,3 0,0 0,0 1,1
442,1 343,3 344,2 457,2 411,3 351,2 409,3 1,1
552,1 514,1 312,1 515,1 0,0 0,0 0,0 1,1
552,1 544,1 308,1 0,0 0,0 0,0 0,0 1,1
552,1 339,1 542,1 0,0 0,0 0,0 0,0 1,1
442,1 361,2 366,1 364,2 525,2 358,2 346,2 1,1
224,1 361,1 546,1 346,1 359,1 358,1 364,1 1,1
224,2 348,2 353,3 359,2 358,2 346,2 0,0 1,1
552,1 542,1 318,1 420,1 436,1 0,0 0,0 1,1
552,1 514,1 515,1 513,1 0,0 0,0 0,0 1,1
224,1 348,1 387,1 424,1 351,1 0,0 0,0 1,1
200,1 348,2 485,3 344,2 0,0 0,0 0,0 1,1
291,1 380,1 514,2 348,2 542,2 0,0 0,0 1,1
224,1 348,1 542,1 359,1 346,1 546,1 0,0 1,1
552,1 544,1 532,1 0,0 0,0 0,0 0,0 1,1
240,1 348,1 339,1 0,0 0,0 0,0 0,0 1,1
200,1 422,1 348,2 490,3 411,3 351,2 277,1 1,1
224,1 436,1 542,1 359,1 358,1 141,1 0,0 27,32
554,1 348,2 424,3 344,2 0,0 0,0 0,0 2,3
224,1 348,1 387,1 424,1 346,1 381,1 0,0 4,6
224,1 542,1 533,1 344,1 409,1 0,0 0,0 7,11
224,1 348,1 344,1 414,1 346,1 426,1 0,0 3,5
224,1 542,1 348,1 346,1 344,1 0,0 0,0 4,7
224,1 361,1 527,1 546,1 359,1 358,1 346,1 13,26
224,1 361,1 353,1 359,1 346,1 358,1 364,1 3,6
224,1 348,1 457,1 346,1 427,1 426,1 0,0 4,8
291,1 436,1 411,3 351,2 555,3 546,1 422,1 1,2
224,1 339,1 387,1 424,1 346,1 381,1 0,0 5,10
224,1 348,1 426,1 359,1 358,1 427,1 0,0 1,2
224,1 361,1 542,1 359,1 358,1 426,1 353,1 1,2
224,1 542,1 342,1 359,1 358,1 0,0 0,0 1,2
224,1 527,1 136,1 354,1 359,1 357,1 138,1 2,4
224,1 348,1 344,1 457,1 426,1 0,0 0,0 1,2
224,1 533,1 344,1 411,1 409,1 0,0 0,0 1,2
224,1 348,1 359,1 346,1 358,1 353,1 0,0 1,2
224,1 348,1 346,1 359,1 358,1 426,1 0,0 3,6
224,1 361,1 427,1 353,1 359,1 358,1 346,1 1,2
224,1 348,1 542,1 402,1 395,1 0,0 0,0 2,4
224,1 348,1 344,1 414,1 346,1 0,0 0,0 8,16
224,1 361,1 426,1 359,1 427,1 346,1 358,1 5,11
224,1 361,1 353,1 341,1 359,1 358,1 0,0 3,7
552,1 514,1 542,1 543,1 0,0 0,0 0,0 3,7
224,1 361,1 353,1 359,1 346,1 358,1 138,1 14,33
224,1 348,1 344,1 424,1 346,1 0,0 0,0 6,15
224,1 542,1 533,1 344,1 426,1 0,0 0,0 2,5
224,1 348,1 426,1 158,1 424,1 346,1 0,0 9,23
224,1 348,1 409,1 414,1 344,1 346,1 0,0 7,19
224,1 542,1 533,1 344,1 546,1 0,0 0,0 1,3
552,1 544,1 542,1 525,1 527,1 0,0 0,0 1,3
224,1 361,1 542,1 359,1 358,1 427,1 0,0 1,3
224,1 361,1 353,1 346,1 359,1 358,1 138,1 8,25
224,1 348,1 353,1 359,1 358,1 346,1 0,0 3,11
552,1 544,1 526,1 527,1 0,0 0,0 0,0 1,4
291,1 361,2 364,2 237,2 525,1 366,1 0,0 0,1
224,1 184,1 367,1 371,1 346,1 380,1 0,0 0,1
224,1 361,1 542,1 359,1 358,1 353,1 426,1 0,2
224,1 361,1 436,1 359,1 358,1 366,1 0,0 0,1
224,1 348,1 542,1 371,1 0,0 0,0 0,0 0,1
224,1 542,1 0,0 0,0 0,0 0,0 0,0 0,1
552,1 514,1 544,1 515,1 0,0 0,0 0,0 0,1
224,1 361,1 353,1 359,1 357,1 138,1 0,0 0,1
552,2 305,1 542,1 519,1 0,0 0,0 0,0 0,1
224,1 381,1 339,1 424,1 172,1 346,1 426,1 0,4
442,1 361,2 366,1 525,2 359,2 346,2 364,1 0,1
224,1 348,1 422,1 344,1 346,1 424,1 0,0 0,1
224,1 361,1 542,1 359,1 353,1 358,1 136,1 0,2
442,1 343,3 414,2 150,1 457,2 351,1 346,1 0,1
224,1 348,1 427,1 346,1 426,1 158,1 395,1 0,2
552,1 422,1 529,1 457,1 0,0 0,0 0,0 0,1
224,1 348,1 542,1 344,1 346,1 0,0 0,0 0,2
552,1 348,1 346,1 351,1 381,1 426,1 0,0 0,1
224,1 348,1 520,1 392,1 0,0 0,0 0,0 0,1
224,1 348,1 371,1 424,1 0,0 0,0 0,0 0,2
224,1 184,1 346,1 371,1 426,1 0,0 0,0 0,1
224,1 361,1 353,1 546,1 359,1 346,1 458,1 0,1
