439,1 514,1 184,1 430,1 379,1 371,1 429,1 1,1
278,1 542,1 428,2 237,1 371,3 514,2 188,1 1,1
439,2 334,3 372,2 351,2 430,1 448,1 336,1 1,1
549,1 514,1 184,1 542,1 312,1 371,1 351,1 1,1
439,2 380,1 376,1 430,2 373,2 379,1 371,3 1,1
439,1 184,1 373,1 183,1 371,1 379,1 430,1 10,10
439,1 184,1 373,1 194,1 379,1 371,1 429,1 38,38
439,2 184,1 373,2 183,1 371,3 379,1 430,1 7,7
439,2 184,1 514,2 373,2 371,3 429,1 195,1 3,3
509,1 514,3 375,2 542,2 430,2 370,1 371,1 1,1
439,2 184,2 195,2 379,1 429,2 371,3 194,2 1,1
189,1 514,1 184,1 542,1 371,1 335,1 543,1 1,1
439,2 432,1 424,2 371,1 373,1 379,1 429,1 1,1
509,1 514,3 376,1 379,1 371,3 276,1 369,3 1,1
549,1 515,1 514,1 312,1 542,1 451,1 544,1 1,1
439,2 184,2 373,2 183,2 371,3 379,1 430,2 2,2
549,2 514,3 184,2 542,2 312,1 371,3 351,2 1,1
509,1 514,2 376,1 542,1 371,3 379,1 351,2 1,1
439,2 428,2 351,2 371,3 448,1 430,1 372,2 1,1
439,2 368,1 514,1 188,1 542,1 371,3 336,1 1,1
439,2 514,3 373,2 371,3 448,1 513,2 372,2 1,1
439,2 375,2 430,1 448,1 371,3 351,2 373,2 1,1
439,2 184,1 373,2 183,2 371,3 379,1 430,1 2,2
439,1 514,1 184,1 183,1 371,1 448,1 372,1 1,1
549,1 514,1 542,1 513,1 515,1 451,1 544,1 1,1
439,1 375,1 514,1 371,1 373,1 379,1 429,1 1,1
259,1 376,1 179,1 379,1 371,1 377,1 378,1 1,1
439,2 334,3 448,1 371,3 372,2 351,2 336,1 1,1
439,2 375,2 373,2 351,2 430,1 371,3 542,1 1,1
439,2 428,2 448,1 430,1 372,2 371,3 351,2 1,1
439,1 514,1 184,1 373,1 335,1 371,1 194,1 1,1
439,2 514,2 184,1 373,2 371,3 183,1 374,1 1,1
439,2 514,2 184,1 373,1 371,1 183,1 374,2 1,1
439,2 428,2 351,2 371,3 430,1 372,2 448,1 1,1
549,1 514,1 315,1 371,1 372,1 367,1 0,0 1,1
439,2 334,3 448,1 372,2 351,2 430,1 336,1 1,1
439,2 514,3 184,1 542,1 373,1 371,2 423,3 1,1
439,2 514,2 184,1 542,2 373,2 371,3 423,1 1,1
509,1 542,1 376,1 514,3 379,1 371,3 336,1 1,1
549,1 514,1 544,1 543,1 515,1 0,0 0,0 1,1
439,2 514,2 184,1 373,2 195,1 371,3 194,1 1,1
549,1 514,1 544,1 541,1 543,1 513,1 0,0 1,1
439,2 368,3 371,3 379,1 448,1 372,2 351,2 1,1
439,2 334,3 351,2 429,1 430,1 371,3 373,2 1,1
549,2 334,3 543,3 351,2 429,1 374,1 367,3 1,1
439,2 184,1 514,3 373,2 371,2 429,2 195,1 2,2
439,2 334,2 514,1 184,1 373,1 183,1 371,1 1,1
549,1 334,1 513,1 351,1 429,1 374,1 336,1 1,1
509,1 542,2 376,2 514,3 379,1 371,3 369,3 2,2
549,1 514,1 542,1 311,1 543,1 513,1 515,1 2,2
549,1 514,1 544,1 312,1 513,1 543,1 0,0 1,1
439,2 373,2 542,1 371,3 514,2 469,1 367,3 1,1
439,2 184,1 514,1 373,2 371,1 429,1 195,1 1,1
189,1 370,1 0,0 0,0 0,0 0,0 0,0 1,1
