439,2 380,1 180,1 367,1 379,1 183,1 0,0 1,1
439,2 370,2 371,3 0,0 0,0 0,0 0,0 1,1
439,2 180,1 373,2 183,1 380,1 0,0 0,0 1,1
439,1 426,1 373,1 336,1 0,0 0,0 0,0 1,1
259,2 380,1 188,1 0,0 0,0 0,0 0,0 1,1
439,2 180,1 513,2 380,1 336,1 0,0 0,0 1,1
439,2 380,1 426,3 514,3 373,2 0,0 0,0 2,2
439,2 380,1 514,3 371,3 0,0 0,0 0,0 1,1
278,1 371,3 0,0 0,0 0,0 0,0 0,0 3,3
500,1 180,1 183,1 427,1 185,1 0,0 0,0 1,1
439,1 367,1 380,1 373,1 336,1 0,0 0,0 1,1
439,2 371,3 514,1 0,0 0,0 0,0 0,0 1,1
439,2 380,1 426,1 367,3 183,2 373,2 0,0 1,1
439,2 426,3 373,2 336,1 0,0 0,0 0,0 2,2
189,2 180,3 380,1 297,1 183,2 276,2 378,2 1,1
549,1 314,1 0,0 0,0 0,0 0,0 0,0 1,1
439,1 367,1 380,1 180,1 379,1 183,1 0,0 1,1
439,2 180,1 373,2 183,1 0,0 0,0 0,0 1,1
439,2 367,3 380,1 373,1 336,1 0,0 0,0 1,1
439,2 180,3 380,1 373,2 183,1 0,0 0,0 1,1
509,1 180,1 380,1 378,2 183,1 426,3 0,0 1,1
509,1 371,3 367,3 0,0 0,0 0,0 0,0 3,3
439,2 370,3 183,1 379,1 0,0 0,0 0,0 3,3
259,1 184,1 237,1 0,0 0,0 0,0 0,0 1,1
509,1 180,1 380,1 379,1 367,3 0,0 0,0 1,1
189,1 451,1 0,0 0,0 0,0 0,0 0,0 1,1
439,1 370,1 183,1 379,1 0,0 0,0 0,0 1,1
189,1 375,1 0,0 0,0 0,0 0,0 0,0 6,7
278,1 380,1 371,3 0,0 0,0 0,0 0,0 5,6
439,2 380,1 180,1 373,1 183,1 0,0 0,0 41,50
439,2 367,3 180,1 371,3 0,0 0,0 0,0 4,5
439,1 380,1 180,1 373,1 183,1 0,0 0,0 41,54
439,2 370,3 371,3 0,0 0,0 0,0 0,0 32,43
439,2 380,1 180,1 373,2 183,1 0,0 0,0 2,3
439,2 380,1 180,1 373,1 427,1 0,0 0,0 2,3
439,1 426,1 367,1 373,1 183,1 0,0 0,0 18,27
259,1 188,1 0,0 0,0 0,0 0,0 0,0 2,3
439,2 380,1 426,1 367,3 379,1 336,1 0,0 2,3
549,1 514,1 513,1 0,0 0,0 0,0 0,0 2,3
439,2 180,1 373,1 183,1 0,0 0,0 0,0 6,9
439,1 180,1 373,1 183,1 0,0 0,0 0,0 345,586
439,1 367,1 373,1 448,1 0,0 0,0 0,0 4,7
259,1 375,1 183,1 0,0 0,0 0,0 0,0 5,9
439,1 367,1 426,1 373,1 183,1 0,0 0,0 4,8
439,1 180,1 373,1 427,1 0,0 0,0 0,0 7,14
439,2 380,1 180,1 367,3 448,1 336,1 0,0 1,2
439,2 370,3 371,3 380,1 0,0 0,0 0,0 3,6
189,1 180,1 371,1 378,1 0,0 0,0 0,0 2,4
439,2 180,3 380,1 379,1 336,1 0,0 0,0 1,2
439,1 426,1 373,1 183,1 367,1 0,0 0,0 1,2
439,2 380,1 371,3 336,1 0,0 0,0 0,0 2,4
439,2 370,3 371,2 380,1 0,0 0,0 0,0 1,2
439,2 367,3 373,2 336,1 0,0 0,0 0,0 5,10
439,1 367,1 373,1 336,1 0,0 0,0 0,0 4,10
439,2 426,3 373,2 448,1 0,0 0,0 0,0 4,10
189,1 514,1 513,1 0,0 0,0 0,0 0,0 2,5
439,1 371,1 514,1 0,0 0,0 0,0 0,0 6,17
439,1 367,1 180,1 371,1 0,0 0,0 0,0 2,6
439,2 369,3 371,3 0,0 0,0 0,0 0,0 1,3
439,2 380,1 367,3 373,2 336,1 0,0 0,0 2,6
439,2 180,1 373,2 427,2 0,0 0,0 0,0 1,3
439,1 367,1 373,1 183,1 426,1 0,0 0,0 1,4
439,1 426,1 514,1 373,1 0,0 0,0 0,0 4,16
189,1 367,1 180,1 426,1 371,1 0,0 0,0 2,8
549,1 514,1 542,1 0,0 0,0 0,0 0,0 2,10
439,2 375,2 367,3 0,0 0,0 0,0 0,0 1,13
439,1 367,1 369,1 373,1 0,0 0,0 0,0 0,1
439,1 367,1 370,1 373,1 0,0 0,0 0,0 0,1
439,2 380,1 426,3 367,3 379,1 336,1 0,0 0,1
439,2 367,3 514,1 373,2 0,0 0,0 0,0 0,1
439,1 190,1 367,1 0,0 0,0 0,0 0,0 0,1
439,1 375,1 367,1 0,0 0,0 0,0 0,0 0,9
439,2 180,1 426,3 379,1 183,1 0,0 0,0 0,1
439,1 515,1 369,1 0,0 0,0 0,0 0,0 0,1
189,1 367,1 426,1 183,1 427,1 0,0 0,0 0,4
439,1 372,1 0,0 0,0 0,0 0,0 0,0 0,2
189,1 543,1 514,1 0,0 0,0 0,0 0,0 0,1
509,1 180,2 380,1 378,2 183,1 367,3 0,0 0,1
439,2 426,1 380,1 373,2 336,1 0,0 0,0 0,1
439,2 426,3 180,1 371,3 0,0 0,0 0,0 0,1
189,1 183,1 180,1 371,1 0,0 0,0 0,0 0,1
189,1 367,1 180,1 371,1 0,0 0,0 0,0 0,3
439,1 544,1 424,1 0,0 0,0 0,0 0,0 0,1
259,1 180,1 371,1 272,1 0,0 0,0 0,0 0,1
439,1 544,1 369,1 0,0 0,0 0,0 0,0 0,1
189,1 367,1 0,0 0,0 0,0 0,0 0,0 0,3
439,1 367,1 180,1 371,1 380,1 0,0 0,0 0,1
189,1 376,1 0,0 0,0 0,0 0,0 0,0 0,1
439,1 373,1 513,1 0,0 0,0 0,0 0,0 0,1
439,1 515,1 367,1 183,1 0,0 0,0 0,0 0,1
439,2 380,1 426,1 367,3 183,1 373,2 0,0 0,3
439,1 370,1 371,1 0,0 0,0 0,0 0,0 0,1
259,1 180,1 184,1 0,0 0,0 0,0 0,0 0,1
439,1 367,1 544,1 180,1 0,0 0,0 0,0 0,1
439,2 372,2 0,0 0,0 0,0 0,0 0,0 0,1
259,1 180,1 378,1 373,1 0,0 0,0 0,0 0,1
439,1 370,1 367,1 335,1 0,0 0,0 0,0 0,1
439,2 371,3 336,1 0,0 0,0 0,0 0,0 0,1
439,1 426,1 180,1 371,1 0,0 0,0 0,0 0,1
189,1 514,1 0,0 0,0 0,0 0,0 0,0 0,1
259,2 181,1 380,1 371,3 0,0 0,0 0,0 0,1
189,1 367,1 180,1 371,1 426,1 0,0 0,0 0,1
189,1 426,1 0,0 0,0 0,0 0,0 0,0 0,5
439,2 367,3 369,3 456,1 380,1 0,0 0,0 0,2
439,1 367,1 369,1 427,1 514,1 0,0 0,0 0,1
439,1 367,1 373,1 448,1 380,1 0,0 0,0 0,1
439,1 367,1 514,1 373,1 0,0 0,0 0,0 0,3
189,2 367,3 426,3 183,2 427,2 380,1 0,0 0,1
189,1 349,1 351,1 0,0 0,0 0,0 0,0 0,1
439,1 375,1 426,1 0,0 0,0 0,0 0,0 0,3
189,1 367,1 426,1 180,1 427,1 0,0 0,0 0,1
439,2 180,1 335,2 367,3 380,1 426,1 0,0 0,1
549,1 514,1 0,0 0,0 0,0 0,0 0,0 0,3
549,2 514,2 0,0 0,0 0,0 0,0 0,0 0,1
439,2 367,3 380,1 373,2 336,1 0,0 0,0 0,1
439,1 514,1 371,1 0,0 0,0 0,0 0,0 0,1
439,2 367,3 369,3 335,2 380,1 0,0 0,0 0,1
439,1 451,1 371,1 0,0 0,0 0,0 0,0 0,1
439,2 180,3 373,1 183,1 0,0 0,0 0,0 0,1
439,2 367,3 180,1 371,2 0,0 0,0 0,0 0,1
439,2 380,1 180,1 373,2 427,1 0,0 0,0 0,1
439,1 184,1 426,1 0,0 0,0 0,0 0,0 0,1
