442,1 342,1 366,1 458,2 362,1 433,1 346,2 1,1
442,1 348,1 347,2 385,1 452,2 423,1 519,1 1,1
442,1 184,1 375,2 371,3 457,1 179,1 428,2 1,1
552,2 188,1 379,1 371,3 429,2 430,1 346,2 1,1
224,1 348,1 339,1 382,1 346,1 519,1 385,1 3,3
442,1 422,1 348,2 414,2 433,1 344,2 485,3 1,1
442,1 348,2 419,1 344,2 429,1 430,1 457,2 2,2
262,2 348,2 419,1 344,2 429,2 430,1 457,2 1,1
224,2 348,1 151,1 152,1 414,1 415,1 417,1 1,1
262,1 348,1 346,1 371,1 513,1 494,1 457,1 1,1
442,1 348,1 413,1 346,1 415,1 417,1 419,1 1,1
224,1 413,1 151,1 152,1 429,1 415,1 417,1 1,1
552,1 339,1 544,1 541,1 521,1 452,1 0,0 1,1
442,1 348,2 488,1 344,2 417,1 415,1 414,1 1,1
224,1 348,1 344,1 485,1 457,1 417,1 415,1 1,1
442,1 361,2 354,3 430,1 525,2 342,1 362,2 1,1
291,1 184,2 347,2 380,1 371,3 457,1 188,1 1,1
442,1 348,2 428,2 536,1 398,3 403,2 461,1 1,1
442,1 348,2 347,2 457,2 339,1 346,2 391,1 1,1
224,1 348,1 361,1 354,1 430,1 192,1 196,1 1,1
552,1 544,1 330,1 538,1 0,0 0,0 0,0 1,1
291,1 348,2 339,1 519,2 385,3 237,2 346,2 1,1
224,2 348,2 415,1 414,1 344,2 346,2 417,1 1,1
442,1 348,2 344,2 417,2 419,2 0,0 0,0 1,1
442,1 348,2 287,1 443,1 457,2 385,3 541,1 1,1
442,1 413,3 488,2 433,1 415,2 422,1 0,0 1,1
442,1 342,1 366,1 458,1 362,1 433,1 346,2 1,1
442,1 348,1 344,1 417,2 419,2 0,0 0,0 1,1
442,1 413,3 343,3 415,2 344,2 417,2 414,2 2,2
552,1 184,1 315,1 371,1 513,1 179,1 0,0 1,1
442,1 521,3 339,1 385,3 457,2 382,3 346,2 1,1
262,2 348,2 344,2 346,2 414,1 457,2 485,3 1,1
442,1 348,1 361,2 341,1 346,2 427,1 0,0 1,1
552,2 376,1 371,3 312,2 187,1 352,1 0,0 1,1
224,1 348,1 339,1 346,1 427,1 385,1 0,0 1,1
224,1 184,1 375,1 179,1 371,1 457,1 541,1 2,2
442,1 348,2 347,2 457,2 346,2 339,1 391,1 1,1
224,1 184,1 348,1 179,1 371,1 457,1 541,1 55,67
224,1 348,1 152,1 194,1 415,1 457,1 417,1 15,19
224,1 368,1 184,1 371,1 423,1 541,1 179,1 2,3
552,1 339,1 544,1 452,1 521,1 0,0 0,0 2,3
224,1 184,1 348,1 513,1 179,1 371,1 457,1 6,9
224,1 348,1 152,1 344,1 415,1 457,1 417,1 51,78
224,1 348,1 344,1 457,1 415,1 417,1 152,1 5,8
224,1 348,1 151,1 152,1 414,1 415,1 417,1 106,170
552,1 413,1 348,1 457,1 415,1 417,1 344,1 82,155
552,1 515,1 0,0 0,0 0,0 0,0 0,0 1,2
224,1 348,1 361,1 354,1 362,1 192,1 196,1 24,48
224,1 348,1 152,1 196,1 457,1 415,1 417,1 2,4
442,1 348,2 344,1 417,1 419,1 0,0 0,0 1,2
224,1 348,1 346,1 457,1 179,1 427,1 371,1 1,2
224,1 348,1 339,1 346,1 385,1 519,1 382,1 1,2
552,1 348,1 346,1 519,1 452,1 521,1 0,0 1,2
224,1 348,1 339,1 346,1 385,1 382,1 519,1 1,2
224,1 348,1 343,1 344,1 457,1 346,1 417,1 1,2
224,1 348,1 388,1 339,1 385,1 346,1 427,1 2,4
224,1 348,1 151,1 414,1 415,1 152,1 417,1 6,14
224,1 348,1 415,1 414,1 344,1 346,1 417,1 13,32
224,1 348,1 344,1 414,1 415,1 417,1 152,1 3,8
