438,2 361,1 342,1 357,3 364,1 360,1 362,1 2,2
438,2 361,2 242,1 341,2 429,1 525,1 350,2 1,1
438,2 361,1 354,3 357,3 360,1 359,1 445,1 1,1
553,1 342,1 542,1 504,1 142,1 360,1 0,0 1,1
553,1 432,1 357,3 351,1 358,2 445,1 453,3 1,1
553,1 342,1 453,3 354,3 357,3 445,1 351,2 7,7
438,2 361,2 365,1 357,3 351,2 525,2 445,1 1,1
438,2 342,1 354,3 351,1 357,3 360,2 445,1 1,1
438,2 361,1 342,1 525,1 357,3 360,1 351,2 2,2
438,2 349,3 523,1 448,1 351,2 357,3 350,2 1,1
438,2 361,2 357,3 429,1 430,1 423,1 350,2 1,1
553,1 342,1 453,3 354,3 357,3 445,1 351,1 4,4
553,1 361,2 354,3 357,3 351,1 362,1 445,1 1,1
438,2 361,2 357,3 430,1 525,1 423,1 350,2 1,1
438,2 361,1 342,1 525,1 357,2 360,2 351,2 5,5
438,1 361,1 541,1 354,1 242,1 351,1 192,1 1,1
438,2 361,1 342,1 525,2 357,3 360,2 351,2 2,2
438,2 361,1 354,3 357,2 351,1 360,1 445,1 1,1
548,1 544,1 526,1 527,1 525,1 543,1 323,1 1,1
438,1 361,1 355,1 453,1 340,1 357,1 360,1 1,1
553,1 431,1 425,3 525,2 357,3 363,2 361,1 1,1
438,2 361,2 342,1 525,1 357,2 360,2 351,2 1,1
438,2 361,1 354,3 357,2 351,1 360,2 445,1 1,1
553,1 425,3 354,3 357,3 525,2 242,1 351,2 1,1
438,2 361,1 425,2 357,2 525,2 195,1 360,2 1,1
553,1 425,3 354,3 357,3 525,1 242,1 351,2 1,1
553,1 453,3 351,1 424,3 357,3 360,2 445,1 1,1
438,2 361,1 342,1 525,2 357,2 360,2 351,2 1,1
438,2 342,1 242,1 351,1 424,3 357,2 361,1 1,1
438,1 361,1 354,1 357,1 362,1 351,1 523,1 1,1
438,2 361,2 425,2 357,3 525,1 195,1 360,2 1,1
438,2 453,3 342,1 357,3 351,2 423,3 445,1 1,1
438,2 342,1 242,2 351,1 424,1 357,3 361,2 1,1
548,2 544,2 543,3 527,2 0,0 0,0 0,0 1,1
258,2 542,1 361,2 508,1 424,3 557,1 354,3 1,1
553,1 342,1 357,3 525,2 242,1 351,2 424,3 1,1
548,1 544,1 526,1 542,1 543,1 323,1 0,0 1,1
438,2 361,2 342,1 525,1 357,3 360,2 351,2 1,1
438,2 361,2 342,1 525,2 357,3 360,2 351,2 1,1
145,1 349,1 453,1 0,0 0,0 0,0 0,0 1,1
438,2 342,1 242,1 351,2 424,3 357,3 361,1 1,1
145,1 453,1 0,0 0,0 0,0 0,0 0,0 1,1
438,2 342,1 495,3 426,2 458,1 256,1 360,2 2,2
438,2 361,2 342,1 357,3 341,2 525,2 360,2 1,1
438,2 361,1 342,1 525,1 357,2 360,1 351,2 3,4
438,2 361,1 342,1 525,1 357,1 360,1 351,1 2,3
438,2 361,1 342,1 357,3 364,1 360,2 362,1 2,3
438,2 342,1 242,1 351,1 424,3 357,3 361,1 2,3
438,2 361,2 342,1 525,2 357,3 360,2 351,1 3,5
438,2 361,1 342,1 525,1 357,3 360,2 351,1 5,9
438,1 361,1 342,1 525,1 357,1 360,1 351,1 86,156
438,2 361,2 342,1 525,1 357,2 360,2 351,1 1,2
438,2 342,1 425,3 341,2 445,1 351,1 357,3 2,4
438,2 361,1 342,1 525,1 357,3 360,2 351,2 2,4
438,2 361,1 425,1 423,1 359,2 357,3 360,2 1,2
438,2 361,1 342,1 525,2 357,2 360,2 351,1 1,2
438,1 361,1 342,1 525,1 360,1 357,1 351,1 1,2
438,2 361,1 342,1 525,1 357,2 360,1 351,1 1,2
548,1 544,1 526,1 527,1 524,1 0,0 0,0 1,2
438,2 453,3 342,1 357,3 351,2 423,2 445,1 1,2
438,2 361,1 354,3 357,2 351,2 360,2 445,1 1,2
438,2 361,1 425,1 357,2 525,1 195,1 360,1 1,2
438,1 542,1 342,1 525,1 360,1 424,1 361,1 4,8
438,2 361,2 342,1 525,2 357,2 360,2 351,1 1,2
438,1 342,1 242,1 351,1 424,1 357,1 361,1 41,83
438,1 242,1 342,1 351,1 424,1 357,1 361,1 5,12
438,1 361,1 425,1 357,1 525,1 195,1 360,1 4,10
438,1 361,1 340,1 425,1 525,1 195,1 360,1 7,19
438,2 342,1 495,3 426,1 458,2 256,1 360,2 1,3
438,1 526,1 140,1 527,1 136,1 425,1 359,1 1,3
438,1 361,1 542,1 359,1 525,1 360,1 358,1 4,12
145,1 544,1 527,1 526,1 525,1 542,1 543,1 1,3
438,1 428,1 526,1 190,1 427,1 139,1 360,1 1,3
438,2 361,1 342,1 525,2 357,3 360,1 351,2 2,6
438,1 361,1 340,1 425,1 360,1 525,1 357,1 4,14
438,2 361,2 342,1 525,1 357,3 360,2 351,1 1,4
438,2 361,2 354,3 357,2 351,2 360,2 445,1 1,4
548,1 544,1 526,1 527,1 525,1 543,1 0,0 1,4
438,2 342,1 495,2 426,1 458,2 256,1 360,2 1,4
438,1 361,1 453,1 341,1 525,1 423,1 360,1 5,21
438,1 361,1 425,1 423,1 138,1 357,1 360,1 3,13
438,2 361,1 342,1 525,1 357,3 360,1 351,1 1,7
438,2 361,1 342,1 525,1 357,2 360,2 351,1 1,7
438,1 361,1 425,1 423,1 359,1 357,1 360,1 1,10
548,1 544,1 526,1 542,1 525,1 543,1 527,1 1,10
553,1 432,1 362,1 359,2 429,1 430,1 341,2 0,1
438,2 353,3 356,3 359,2 429,2 543,3 341,2 0,1
548,1 353,1 426,1 424,1 350,1 543,1 425,1 0,1
438,2 361,1 342,1 525,2 357,2 360,1 351,2 0,1
438,1 361,1 541,1 195,1 357,1 525,1 360,1 0,9
548,2 432,1 362,1 359,2 429,1 430,1 341,2 0,1
438,2 342,1 357,3 362,1 351,2 423,1 361,2 0,1
438,1 361,1 354,1 541,1 525,1 360,1 423,1 0,1
438,2 361,1 425,1 423,1 359,1 357,3 360,1 0,1
438,2 361,2 354,3 425,2 360,2 359,2 357,3 0,1
438,1 544,1 361,1 426,1 354,1 429,1 196,1 0,3
438,2 353,3 362,2 359,2 350,2 445,1 341,2 0,1
438,1 356,1 190,1 428,1 544,1 192,1 525,1 0,1
438,2 349,3 430,1 357,3 350,2 525,1 423,1 0,1
548,1 353,1 543,1 426,1 350,1 425,1 349,1 0,1
438,1 361,1 357,1 138,1 141,1 358,1 360,1 0,1
499,2 432,1 362,1 351,2 429,1 430,1 341,3 0,1
438,1 425,1 527,1 138,1 194,1 358,1 543,1 0,1
438,1 340,1 425,1 357,1 350,1 358,1 360,1 0,1
548,1 353,1 544,1 426,1 350,1 425,1 349,1 0,1
438,1 361,1 355,1 357,1 360,1 358,1 353,1 0,1
438,2 361,2 357,3 430,1 525,2 350,2 423,1 0,1
438,2 361,1 140,1 354,3 196,1 360,2 357,2 0,2
438,2 361,2 357,3 430,1 423,1 350,2 525,1 0,1
438,2 432,1 362,2 359,2 429,2 430,2 341,2 0,1
438,1 361,1 425,1 453,1 525,1 360,1 195,1 0,1
548,2 432,1 362,1 359,2 429,2 430,1 525,2 0,1
438,2 361,2 354,3 357,3 351,2 360,2 445,1 0,2
438,1 526,1 544,1 428,1 354,1 194,1 359,1 0,1
438,1 526,1 355,1 357,1 194,1 360,1 192,1 0,1
438,2 544,3 357,3 430,1 525,1 423,1 350,2 0,1
438,2 361,1 354,3 357,3 351,2 360,1 445,1 0,1
438,2 353,3 362,1 359,2 429,2 242,3 543,2 0,1
438,1 527,1 356,1 137,1 424,1 429,1 360,1 0,1
438,1 361,1 354,1 357,1 351,1 360,1 445,1 0,2
438,2 361,2 342,1 458,2 362,2 357,3 363,2 0,1
438,1 342,1 341,1 423,1 360,1 237,1 429,1 0,1
548,2 522,1 462,1 351,2 350,2 525,2 542,2 0,1
438,2 342,1 354,3 523,1 358,2 351,2 0,0 0,1
145,1 354,1 0,0 0,0 0,0 0,0 0,0 0,1
438,2 361,2 362,1 357,3 525,1 445,1 245,1 0,1
438,2 353,3 362,1 359,2 429,1 242,1 543,3 0,1
438,1 353,1 190,1 544,1 194,1 141,1 525,1 0,1
438,2 361,2 359,2 357,3 362,2 360,2 445,1 0,1
548,1 353,1 426,1 424,1 350,1 425,1 349,1 0,1
548,1 361,1 357,1 341,1 423,1 525,1 350,1 0,1
438,1 453,1 355,1 361,1 340,1 357,1 360,1 0,2
438,1 361,1 425,1 341,1 423,1 525,1 360,1 0,1
438,2 340,3 430,1 424,1 242,1 525,1 350,2 0,1
499,2 353,2 340,3 359,1 429,1 543,1 423,1 0,1
438,2 361,1 354,3 357,2 351,2 360,1 445,1 0,2
438,1 342,1 458,1 357,1 525,1 360,1 361,1 0,2
438,2 361,2 341,2 242,1 458,1 525,1 350,2 0,1
438,2 361,2 357,3 430,1 525,1 423,1 543,1 0,1
438,1 428,1 425,1 190,1 136,1 526,1 192,1 0,1
438,2 342,1 357,3 341,2 360,2 350,2 351,1 0,1
438,1 342,1 354,1 357,1 445,1 360,1 351,1 0,1
438,2 453,2 361,2 340,3 357,2 341,2 360,2 0,1
145,1 544,1 527,1 526,1 543,1 0,0 0,0 0,4
438,2 361,2 362,1 357,3 525,1 364,2 445,1 0,1
438,2 361,1 342,1 525,1 357,1 360,1 351,2 0,1
438,2 361,2 476,2 351,1 357,2 362,1 0,0 0,1
438,2 361,1 140,1 354,3 196,1 360,1 357,3 0,1
438,2 361,1 425,1 357,2 525,1 195,1 360,2 0,1
438,2 361,2 425,2 423,3 359,2 357,3 360,1 0,1
438,1 361,1 354,1 359,1 357,1 445,1 362,1 0,1
438,1 140,1 355,1 190,1 353,1 139,1 543,1 0,1
438,2 361,1 425,2 423,1 359,2 357,3 360,2 0,1
438,2 361,2 140,2 354,3 196,1 360,2 357,3 0,1
438,1 342,1 353,1 424,1 357,1 351,1 361,1 0,2
438,2 453,3 361,1 340,3 357,3 341,2 360,2 0,1
438,2 453,3 340,3 341,2 351,2 357,3 458,1 0,1
438,2 361,1 354,3 357,3 351,2 360,2 445,1 0,1
438,2 342,1 354,3 359,2 357,3 351,2 362,1 0,1
438,2 342,1 354,1 359,1 357,1 351,2 350,2 0,1
438,2 342,1 242,2 351,1 424,1 357,3 361,1 0,3
438,1 361,1 353,1 137,1 428,1 355,1 358,1 0,1
438,1 353,1 361,1 140,1 425,1 138,1 424,1 0,1
438,2 361,2 355,3 453,3 340,3 357,3 360,2 0,1
438,2 242,1 342,1 351,1 424,3 357,3 361,1 0,1
438,2 361,2 541,1 195,1 357,3 525,2 360,2 0,1
438,1 190,1 136,1 361,1 196,1 427,1 192,1 0,1
438,1 542,1 475,1 458,1 357,1 453,1 362,1 0,1
548,1 524,1 357,1 423,1 360,1 0,0 0,0 0,1
548,1 544,1 543,1 527,1 0,0 0,0 0,0 0,3
438,2 453,1 361,2 340,3 357,3 341,2 360,2 0,1
438,1 190,1 428,1 357,1 135,1 543,1 195,1 0,1
548,2 544,2 543,3 527,3 0,0 0,0 0,0 0,1
438,2 361,1 354,3 357,3 351,1 360,2 445,1 0,1
438,1 527,1 190,1 135,1 354,1 196,1 192,1 0,1
438,2 361,1 140,1 354,3 360,1 195,1 357,3 0,1
438,2 361,1 342,1 525,2 357,2 360,1 351,1 0,1
438,2 342,1 242,1 351,1 424,2 357,2 361,1 0,1
438,2 361,2 350,2 496,1 504,1 362,1 364,1 0,1
438,2 342,1 242,1 351,1 424,3 357,2 361,2 0,1
438,2 453,3 361,2 340,3 357,3 341,2 360,2 0,1
438,2 361,2 342,1 525,1 357,3 360,1 351,2 0,1
438,1 361,1 342,1 359,1 525,1 360,1 357,1 0,1
438,2 342,1 242,2 351,2 424,3 357,3 361,2 0,1
438,2 342,1 242,3 351,2 424,3 357,3 361,1 0,1
438,1 356,1 428,1 190,1 136,1 138,1 427,1 0,1
438,1 190,1 138,1 426,1 196,1 427,1 358,1 0,1
438,2 508,3 353,3 361,2 496,1 340,3 357,3 0,1
548,1 526,1 525,1 0,0 0,0 0,0 0,0 0,3
438,1 453,1 361,1 340,1 357,1 354,1 360,1 0,2
145,1 426,1 0,0 0,0 0,0 0,0 0,0 0,2
438,1 453,1 361,1 340,1 357,1 341,1 360,1 0,1
438,1 361,1 342,1 542,1 341,1 525,1 360,1 0,1
438,1 544,1 137,1 527,1 425,1 428,1 193,1 0,1
438,1 361,1 135,1 426,1 429,1 427,1 139,1 0,1
235,1 366,1 136,1 230,1 144,1 365,1 199,1 0,1
145,1 544,1 425,1 525,1 423,1 360,1 195,1 0,1
438,1 137,1 356,1 138,1 196,1 423,1 195,1 0,1
548,2 526,2 525,1 0,0 0,0 0,0 0,0 0,1
438,2 342,1 242,1 351,2 424,1 357,2 361,2 0,1
438,1 453,1 340,1 361,1 357,1 354,1 360,1 0,1
438,2 361,2 342,1 525,1 357,2 360,1 351,2 0,1
438,2 445,1 340,3 524,1 360,2 366,1 361,1 0,1
438,2 428,1 526,2 190,1 427,1 139,1 360,2 0,1
438,1 342,1 354,1 362,1 357,1 351,1 0,0 0,1
438,2 342,1 495,2 426,3 458,2 256,1 360,2 0,1
