440,1 404,1 247,1 403,1 401,1 402,1 333,1 2,2
440,2 162,1 190,1 350,2 333,1 161,1 401,1 1,1
440,2 404,1 538,3 333,2 402,2 406,2 161,2 1,1
440,2 405,1 162,1 425,2 242,3 401,1 333,1 1,1
440,2 162,1 425,3 333,2 401,1 351,2 161,1 1,1
550,2 538,3 542,1 543,2 539,2 333,1 544,2 1,1
440,2 404,1 538,3 333,1 402,2 406,1 161,1 2,2
440,2 404,1 538,2 333,2 402,2 406,2 161,1 1,1
440,2 162,2 425,1 333,1 401,1 351,2 161,1 1,1
236,1 447,1 538,1 333,1 242,1 192,1 423,3 1,1
440,1 404,1 538,1 333,1 242,1 401,1 406,1 1,1
440,2 162,1 425,3 333,1 161,1 158,1 401,1 1,1
440,2 404,1 538,3 430,1 333,2 402,2 406,1 1,1
440,2 162,1 425,1 333,1 401,2 351,2 161,1 1,1
550,1 544,1 542,1 543,1 302,1 0,0 0,0 1,1
464,1 542,1 447,1 538,1 333,1 484,1 461,1 1,1
440,2 425,3 349,3 333,1 351,2 401,2 161,1 1,1
440,2 162,1 397,1 425,3 402,2 161,1 401,1 1,1
440,2 190,2 162,1 425,1 333,2 161,1 158,1 1,1
440,2 350,2 333,2 482,1 480,2 423,3 461,1 1,1
167,1 405,1 333,1 402,1 406,1 429,1 401,1 1,1
440,2 162,2 425,3 333,2 161,2 407,1 401,2 1,1
440,2 404,1 538,3 333,1 402,1 406,1 161,1 2,2
440,2 405,1 162,1 425,2 242,1 401,2 333,2 2,2
236,1 447,1 265,1 333,2 482,2 199,1 461,1 1,1
464,1 497,1 508,1 482,2 423,3 406,2 461,1 1,1
550,1 538,1 542,1 543,1 539,1 544,1 302,1 1,1
464,1 447,1 397,3 425,2 333,2 396,3 265,1 1,1
440,1 190,1 162,1 425,1 333,1 161,1 158,1 1,1
440,1 162,1 242,1 333,1 350,1 461,1 0,0 1,1
440,2 447,1 404,1 333,1 350,2 423,3 401,2 1,1
440,2 162,2 247,2 242,1 482,1 535,1 540,1 1,1
440,2 404,1 447,1 333,2 406,1 242,2 401,2 1,1
440,2 404,1 538,3 333,2 402,2 406,1 161,1 12,16
440,1 404,1 538,1 333,1 402,1 406,1 161,1 77,106
440,2 404,1 538,2 333,2 402,1 406,1 161,1 5,7
440,2 404,1 538,2 333,2 402,2 406,1 161,1 5,7
440,2 162,1 425,2 333,2 401,1 351,2 161,1 3,5
440,2 404,1 538,3 333,2 402,1 406,1 161,1 4,7
167,1 424,1 403,1 160,1 401,1 192,1 161,1 1,2
440,2 405,1 162,1 425,3 242,1 401,1 333,1 1,2
440,2 404,1 538,2 333,1 402,2 406,1 161,1 1,2
440,2 404,1 538,1 333,2 402,2 406,1 161,1 1,2
440,2 190,1 162,1 425,1 401,1 158,1 161,1 1,2
440,2 447,1 399,3 425,3 333,2 401,2 402,2 1,2
440,2 447,1 404,1 333,2 247,1 406,1 350,2 1,2
440,2 404,1 538,3 333,2 402,1 406,2 161,1 1,2
440,2 404,1 538,3 333,2 402,2 406,2 161,1 2,4
440,1 162,1 425,1 333,1 161,1 158,1 401,1 6,16
440,1 162,1 536,1 538,1 401,1 161,1 539,1 4,11
440,1 190,1 162,1 425,1 401,1 158,1 161,1 5,14
440,2 404,1 538,2 333,1 402,1 406,1 161,1 1,3
440,1 162,1 425,1 538,1 161,1 423,1 402,1 1,3
440,1 162,1 425,1 401,1 161,1 158,1 402,1 2,6
440,2 162,1 425,1 333,1 401,1 351,2 161,1 4,18
167,1 333,1 538,1 544,1 543,1 542,1 539,1 2,9
440,2 162,2 425,3 333,2 401,2 351,2 161,2 1,5
550,1 538,1 333,1 543,1 537,1 539,1 544,1 1,6
550,1 544,1 542,1 543,1 537,1 539,1 0,0 1,6
440,1 162,1 397,1 425,1 402,1 161,1 401,1 3,27
550,1 538,1 542,1 543,1 539,1 333,1 544,1 1,11
440,2 404,1 397,3 425,1 406,1 401,2 396,3 0,1
440,2 162,1 397,2 425,2 402,1 161,1 401,1 0,2
440,2 399,1 331,3 349,3 351,2 401,1 402,2 0,1
440,2 425,3 349,3 333,2 351,2 401,2 161,1 0,1
440,1 397,1 401,1 402,1 333,1 454,1 403,1 0,2
167,1 333,1 0,0 0,0 0,0 0,0 0,0 0,2
440,2 190,1 162,1 425,3 333,2 161,1 158,1 0,1
440,1 162,1 425,1 401,1 161,1 351,1 158,1 0,1
440,2 162,1 397,1 425,2 402,1 161,1 401,1 0,1
440,2 397,3 401,2 402,2 454,3 403,2 333,2 0,1
440,1 162,1 397,1 190,1 196,1 539,1 543,1 0,1
550,2 538,3 542,1 543,3 539,3 333,1 544,2 0,1
550,1 538,1 543,1 539,1 537,1 542,1 544,1 0,1
440,1 425,1 401,1 351,1 333,1 396,1 350,1 0,1
440,1 162,1 397,1 425,1 333,1 161,1 401,1 0,1
440,1 190,1 538,1 158,1 398,1 195,1 192,1 0,3
440,1 162,1 425,1 333,1 401,1 351,1 161,1 0,2
440,2 404,1 397,3 242,1 401,2 430,1 350,2 0,1
440,1 544,1 538,1 333,1 425,1 350,1 190,1 0,2
440,1 190,1 395,1 397,1 429,1 539,1 160,1 0,1
440,1 538,1 162,1 158,1 402,1 537,1 196,1 0,1
440,1 425,1 424,1 196,1 537,1 427,1 542,1 0,1
440,1 157,1 162,1 538,1 191,1 427,1 403,1 0,2
440,2 404,1 538,2 333,2 402,1 406,2 161,1 0,1
440,2 404,1 538,3 333,1 402,1 406,2 161,1 0,1
440,1 399,1 159,1 538,1 428,1 398,1 429,1 0,1
167,1 157,1 426,1 398,1 160,1 161,1 427,1 0,2
440,2 404,1 432,1 350,2 406,1 401,2 333,2 0,1
440,1 162,1 538,1 333,1 402,1 161,1 163,1 0,1
440,1 447,1 397,1 425,1 242,1 401,1 333,1 0,1
440,2 404,1 538,1 333,2 402,1 406,1 161,1 0,2
440,2 397,3 401,2 402,2 403,2 454,3 333,1 0,1
550,1 404,1 242,1 536,1 430,1 350,1 423,1 0,1
440,1 157,1 190,1 426,1 402,1 539,1 396,1 0,1
440,2 162,1 397,1 425,1 401,1 242,1 161,1 0,1
440,2 408,1 399,3 395,3 351,2 0,0 0,0 0,1
550,2 404,2 301,1 401,2 242,1 351,2 508,1 0,1
440,2 404,1 397,3 401,2 242,1 430,1 350,2 0,1
440,1 538,1 161,1 400,1 163,1 423,1 160,1 0,1
440,2 404,1 538,2 333,1 402,2 406,2 161,1 0,1
440,1 544,1 399,1 159,1 193,1 158,1 429,1 0,1
440,1 162,1 397,1 425,1 401,1 242,1 161,1 0,1
440,2 405,2 162,1 425,2 242,1 401,1 333,1 0,1
440,2 404,1 536,1 242,1 401,2 350,2 543,1 0,1
440,2 404,1 401,2 242,1 430,1 350,2 539,3 0,1
440,2 162,2 425,3 333,2 401,2 351,1 161,2 0,1
440,1 162,1 425,1 333,1 350,1 351,1 401,1 0,1
440,1 397,1 401,1 402,1 454,1 333,1 403,1 0,1
167,1 162,1 160,1 194,1 163,1 161,1 158,1 0,1
440,2 405,2 162,1 425,1 242,2 401,1 333,2 0,1
440,2 190,1 162,1 425,1 333,2 161,1 158,1 0,2
440,2 162,1 425,2 333,2 401,2 351,2 161,1 0,1
440,1 538,1 395,1 162,1 191,1 196,1 423,1 0,1
550,1 508,1 299,1 333,1 350,1 539,1 543,1 0,1
440,1 162,1 397,1 425,1 333,1 401,1 242,1 0,1
440,2 190,1 162,1 425,3 401,1 158,1 161,1 0,2
440,1 395,1 425,1 160,1 539,1 161,1 163,1 0,1
440,2 162,1 397,3 425,1 402,1 161,1 401,1 0,1
440,2 190,1 162,1 425,2 401,1 158,1 161,1 0,2
440,2 447,1 404,1 333,1 350,2 423,1 401,2 0,1
167,1 398,1 401,1 162,1 159,1 424,1 427,1 0,1
440,1 162,1 397,1 333,1 242,1 401,1 425,1 0,1
440,1 190,1 162,1 395,1 398,1 194,1 400,1 0,2
440,1 190,1 399,1 159,1 429,1 163,1 403,1 0,1
440,2 162,1 425,3 333,2 402,2 351,1 401,2 0,1
440,1 399,1 158,1 424,1 429,1 195,1 403,1 0,1
550,1 538,1 543,1 539,1 537,1 544,1 0,0 0,5
440,2 404,1 247,1 403,2 401,2 402,2 333,2 0,1
440,1 428,1 193,1 402,1 423,1 396,1 163,1 0,1
440,1 157,1 162,1 426,1 427,1 423,1 396,1 0,1
440,1 395,1 544,1 190,1 424,1 429,1 196,1 0,1
440,2 405,1 401,2 351,2 406,1 333,2 461,1 0,1
550,2 538,2 333,1 543,3 537,2 539,3 544,3 0,1
167,2 404,2 538,1 333,2 536,1 406,2 161,2 0,1
440,2 190,1 162,1 425,3 401,2 158,1 161,1 0,1
440,2 397,3 401,2 402,2 403,2 333,2 454,3 0,1
440,2 399,3 538,3 158,1 401,1 351,2 396,1 0,2
167,1 426,1 0,0 0,0 0,0 0,0 0,0 0,3
550,2 538,3 333,1 543,1 537,1 539,3 544,1 0,1
440,2 425,2 349,3 333,2 351,2 401,2 161,1 0,1
440,1 399,1 190,1 157,1 158,1 426,1 192,1 0,1
440,1 157,1 159,1 190,1 194,1 403,1 163,1 0,1
440,1 190,1 538,1 333,1 401,1 350,1 161,1 0,1
464,1 447,1 484,1 407,1 461,1 228,1 482,1 0,1
440,1 157,1 162,1 402,1 429,1 396,1 539,1 0,1
440,1 428,1 157,1 159,1 398,1 429,1 400,1 0,1
440,2 162,1 425,3 333,2 161,1 158,1 401,2 0,1
440,2 397,3 401,1 402,2 333,2 403,2 454,3 0,1
