236,1 408,1 248,3 427,2 160,3 237,1 0,0 1,1
440,2 405,2 273,3 400,2 0,0 0,0 0,0 1,1
440,2 399,2 534,1 0,0 0,0 0,0 0,0 7,7
440,2 398,3 399,2 160,2 163,1 0,0 0,0 1,1
440,2 399,3 428,1 400,2 408,1 0,0 0,0 1,1
440,2 405,1 273,1 400,2 0,0 0,0 0,0 1,1
440,2 399,2 428,2 163,1 0,0 0,0 0,0 1,1
440,2 405,2 483,2 408,1 0,0 0,0 0,0 1,1
440,2 408,1 399,3 193,3 273,3 462,1 0,0 1,1
440,1 399,1 430,1 0,0 0,0 0,0 0,0 2,2
440,2 428,2 408,1 163,2 400,2 0,0 0,0 1,1
440,2 332,2 408,1 399,3 400,2 0,0 0,0 1,1
440,2 538,3 400,2 0,0 0,0 0,0 0,0 1,1
464,1 408,1 482,2 0,0 0,0 0,0 0,0 1,1
440,2 332,1 398,3 403,2 408,1 0,0 0,0 1,1
440,1 332,1 408,1 399,1 400,1 0,0 0,0 1,1
440,2 332,2 408,1 399,2 400,1 0,0 0,0 1,1
440,1 190,1 160,1 427,1 0,0 0,0 0,0 2,2
440,2 399,3 428,2 400,1 408,1 0,0 0,0 1,1
440,2 190,3 408,1 400,2 0,0 0,0 0,0 1,1
167,1 349,1 0,0 0,0 0,0 0,0 0,0 5,5
464,1 408,1 482,1 0,0 0,0 0,0 0,0 1,1
440,2 408,1 398,1 399,3 160,1 163,1 0,0 1,1
440,2 408,1 399,3 429,1 400,2 0,0 0,0 1,1
440,1 399,1 248,1 289,1 0,0 0,0 0,0 1,1
440,2 399,3 400,2 163,1 0,0 0,0 0,0 6,7
440,2 398,1 482,1 0,0 0,0 0,0 0,0 5,6
440,2 398,1 482,2 0,0 0,0 0,0 0,0 5,6
440,2 398,2 482,2 0,0 0,0 0,0 0,0 17,21
440,2 399,3 534,1 0,0 0,0 0,0 0,0 7,9
440,2 399,3 428,2 400,2 0,0 0,0 0,0 3,4
464,1 482,2 0,0 0,0 0,0 0,0 0,0 2,3
440,2 399,3 428,1 400,2 0,0 0,0 0,0 2,3
440,1 398,1 482,1 0,0 0,0 0,0 0,0 47,72
440,1 405,1 273,1 400,1 0,0 0,0 0,0 5,8
440,2 408,1 399,3 534,1 0,0 0,0 0,0 3,5
440,2 399,3 400,1 163,1 0,0 0,0 0,0 3,5
440,2 398,3 482,1 0,0 0,0 0,0 0,0 7,13
167,1 399,1 194,1 429,1 0,0 0,0 0,0 8,16
167,1 349,1 536,1 0,0 0,0 0,0 0,0 1,2
440,2 398,2 482,1 0,0 0,0 0,0 0,0 9,18
440,1 541,1 534,1 0,0 0,0 0,0 0,0 3,6
440,2 398,2 399,2 160,1 163,1 0,0 0,0 1,2
440,2 332,2 399,3 408,1 400,2 0,0 0,0 1,2
440,2 398,3 399,2 160,1 163,1 0,0 0,0 1,2
440,2 405,1 273,2 400,1 0,0 0,0 0,0 1,2
440,2 398,1 399,2 160,1 163,1 0,0 0,0 1,2
440,2 399,3 159,3 400,2 0,0 0,0 0,0 1,2
167,1 349,1 544,1 0,0 0,0 0,0 0,0 2,4
440,2 399,3 428,2 400,2 408,1 0,0 0,0 1,2
440,2 398,3 482,2 0,0 0,0 0,0 0,0 9,22
440,2 405,1 273,3 400,2 0,0 0,0 0,0 2,5
440,1 398,1 399,1 160,1 163,1 0,0 0,0 22,56
440,1 399,1 534,1 0,0 0,0 0,0 0,0 5,13
167,1 538,1 0,0 0,0 0,0 0,0 0,0 3,8
167,1 399,1 0,0 0,0 0,0 0,0 0,0 5,14
440,1 399,1 196,1 163,1 0,0 0,0 0,0 1,3
440,1 399,1 428,1 400,1 0,0 0,0 0,0 1,3
440,2 398,1 399,1 160,1 163,1 0,0 0,0 1,3
167,1 536,1 544,1 0,0 0,0 0,0 0,0 1,3
440,1 190,1 193,1 0,0 0,0 0,0 0,0 1,4
440,1 538,1 163,1 0,0 0,0 0,0 0,0 1,5
440,1 399,1 428,1 400,1 408,1 0,0 0,0 1,5
440,2 398,3 403,2 400,2 0,0 0,0 0,0 1,7
440,1 544,1 403,1 0,0 0,0 0,0 0,0 1,8
440,2 399,3 398,3 403,2 0,0 0,0 0,0 1,17
167,1 398,1 0,0 0,0 0,0 0,0 0,0 1,24
440,2 405,1 273,2 400,2 0,0 0,0 0,0 0,1
440,1 190,1 159,1 0,0 0,0 0,0 0,0 0,3
440,1 190,1 428,1 0,0 0,0 0,0 0,0 0,1
440,1 399,1 398,1 403,1 0,0 0,0 0,0 0,2
550,1 482,1 0,0 0,0 0,0 0,0 0,0 0,1
440,1 544,1 160,1 163,1 0,0 0,0 0,0 0,4
440,1 399,1 428,1 193,1 0,0 0,0 0,0 0,1
440,1 538,1 428,1 0,0 0,0 0,0 0,0 0,6
440,1 428,1 190,1 0,0 0,0 0,0 0,0 0,2
440,2 194,1 399,1 429,1 0,0 0,0 0,0 0,1
440,1 428,1 399,1 400,1 0,0 0,0 0,0 0,6
440,1 538,1 429,1 0,0 0,0 0,0 0,0 0,2
440,1 399,1 194,1 429,1 0,0 0,0 0,0 0,3
440,1 399,1 160,1 400,1 0,0 0,0 0,0 0,3
