156,2 412,3 422,1 411,3 351,2 414,2 153,2 1,1
156,1 343,1 415,1 150,1 411,1 414,1 409,1 1,1
441,2 413,3 426,3 448,1 344,2 0,0 0,0 2,2
441,1 413,1 344,1 427,1 343,1 0,0 0,0 2,2
502,1 542,1 320,1 344,1 0,0 0,0 0,0 1,1
261,2 343,3 528,1 426,2 415,1 420,1 0,0 1,1
156,2 412,2 409,3 415,1 417,2 426,1 0,0 1,1
156,2 412,3 409,3 415,1 417,2 426,1 0,0 1,1
441,2 343,3 420,1 344,2 417,2 0,0 0,0 1,1
551,1 531,1 542,1 317,1 0,0 0,0 0,0 4,4
441,2 343,3 448,1 427,1 344,2 542,1 0,0 1,1
441,2 343,3 344,2 417,2 427,1 0,0 0,0 1,1
156,1 343,1 455,1 414,1 411,1 485,1 0,0 1,1
156,1 147,1 0,0 0,0 0,0 0,0 0,0 1,1
551,1 318,1 542,1 0,0 0,0 0,0 0,0 2,2
551,2 533,1 317,1 0,0 0,0 0,0 0,0 1,1
551,2 542,2 533,1 0,0 0,0 0,0 0,0 1,1
156,2 412,3 409,3 420,2 415,2 414,2 411,3 1,1
441,2 422,1 409,3 413,3 411,3 344,2 0,0 1,1
156,2 409,2 343,3 415,1 411,2 150,1 414,1 1,1
156,2 343,3 351,2 411,3 344,2 418,2 0,0 1,1
261,2 460,1 424,3 351,2 427,2 0,0 0,0 1,1
156,2 412,3 415,2 414,2 417,2 0,0 0,0 2,2
156,1 343,1 351,1 409,1 415,1 411,1 414,1 1,1
156,2 412,3 409,3 415,1 417,2 426,2 0,0 1,1
441,2 533,3 344,1 409,3 0,0 0,0 0,0 1,1
551,1 343,1 532,1 0,0 0,0 0,0 0,0 1,1
551,2 533,2 542,1 0,0 0,0 0,0 0,0 1,1
551,1 533,1 317,1 0,0 0,0 0,0 0,0 1,1
156,1 409,1 412,1 320,1 344,1 0,0 0,0 1,1
156,2 152,1 344,1 424,1 0,0 0,0 0,0 1,1
261,1 409,1 412,1 415,1 411,1 420,1 414,1 1,1
156,1 343,1 409,1 150,1 411,1 415,1 414,1 4,5
551,2 533,2 0,0 0,0 0,0 0,0 0,0 2,3
156,1 529,1 344,1 0,0 0,0 0,0 0,0 2,3
156,1 413,1 542,1 414,1 344,1 0,0 0,0 5,8
156,1 409,1 343,1 415,1 411,1 150,1 414,1 20,32
156,1 152,1 344,1 424,1 0,0 0,0 0,0 79,129
156,1 343,1 409,1 415,1 150,1 411,1 414,1 37,63
156,1 409,1 426,1 429,1 150,1 415,1 414,1 9,16
156,1 343,1 409,1 150,1 411,1 344,1 414,1 20,37
441,1 533,1 344,1 409,1 0,0 0,0 0,0 37,70
156,1 412,1 409,1 415,1 417,1 426,1 0,0 55,108
551,1 343,1 344,1 426,1 424,1 409,1 0,0 1,2
156,1 152,1 424,1 344,1 0,0 0,0 0,0 18,36
551,1 531,1 542,1 0,0 0,0 0,0 0,0 4,8
156,1 409,1 427,1 415,1 150,1 411,1 414,1 2,4
156,1 409,1 343,1 150,1 411,1 415,1 414,1 1,2
441,1 343,1 422,1 415,1 417,1 414,1 0,0 1,2
156,1 343,1 426,1 415,1 411,1 150,1 414,1 1,2
441,2 533,2 414,1 150,1 0,0 0,0 0,0 1,2
551,1 531,1 0,0 0,0 0,0 0,0 0,0 1,2
156,1 409,1 343,1 150,1 411,1 414,1 415,1 1,2
156,2 152,1 424,1 344,2 0,0 0,0 0,0 1,2
156,1 533,1 344,1 409,1 426,1 0,0 0,0 65,131
551,1 533,1 542,1 0,0 0,0 0,0 0,0 6,13
156,1 409,1 343,1 411,1 150,1 344,1 414,1 9,20
156,1 409,1 343,1 344,1 411,1 351,1 414,1 15,34
551,1 533,1 343,1 0,0 0,0 0,0 0,0 3,7
551,1 533,1 0,0 0,0 0,0 0,0 0,0 3,9
156,1 426,1 544,1 427,1 409,1 0,0 0,0 1,3
441,1 533,1 414,1 150,1 0,0 0,0 0,0 2,7
156,1 409,1 411,1 150,1 415,1 149,1 427,1 1,4
441,2 533,2 414,2 150,1 0,0 0,0 0,0 1,4
156,1 409,1 411,1 414,1 415,1 343,1 150,1 1,4
551,1 544,1 542,1 343,1 0,0 0,0 0,0 1,4
441,1 533,1 409,1 429,1 0,0 0,0 0,0 2,10
156,1 343,1 350,1 426,1 409,1 344,1 0,0 1,5
441,1 533,1 416,1 0,0 0,0 0,0 0,0 1,6
156,1 343,1 409,1 426,1 350,1 344,1 0,0 1,12
441,2 152,1 414,2 429,1 0,0 0,0 0,0 1,16
463,1 460,1 462,1 426,1 414,2 422,1 0,0 0,1
441,2 432,1 448,1 414,2 422,1 0,0 0,0 0,2
441,1 147,1 409,1 424,1 194,1 149,1 0,0 0,2
441,1 190,1 411,1 426,1 427,1 0,0 0,0 0,1
156,1 343,1 426,1 344,1 350,1 409,1 0,0 0,5
156,1 343,1 409,1 411,1 344,1 414,1 351,1 0,4
