502,2 269,1 542,1 155,1 531,1 0,0 0,0 1,1
156,1 152,1 151,1 150,1 146,1 148,1 417,1 1,1
156,1 542,1 533,1 345,1 344,1 150,1 448,1 1,1
156,2 542,1 533,2 345,1 344,1 531,1 150,1 1,1
156,1 542,1 533,1 530,1 529,1 344,1 409,1 1,1
441,2 532,3 345,1 530,1 427,1 531,1 344,2 1,1
551,1 533,1 343,1 345,1 320,1 415,1 0,0 1,1
441,2 413,2 410,1 345,2 416,2 344,2 417,2 1,1
551,2 542,2 533,3 345,2 344,2 417,1 409,1 1,1
441,2 413,3 410,3 345,2 344,1 417,1 416,2 1,1
441,2 345,1 529,1 448,1 344,2 531,1 0,0 1,1
551,1 343,1 532,1 344,1 542,1 543,1 531,1 1,1
441,2 532,3 345,1 424,3 530,1 542,2 531,1 1,1
441,2 409,2 152,1 344,2 345,2 417,1 423,2 1,1
551,2 542,2 533,3 345,1 344,1 417,2 409,3 1,1
441,1 432,1 419,1 344,1 429,1 430,1 0,0 1,1
551,1 444,1 448,1 426,1 429,1 430,1 416,1 1,1
441,2 413,1 410,1 415,1 345,2 417,2 416,1 1,1
441,2 152,1 409,2 345,2 344,2 417,2 422,1 1,1
551,2 533,2 542,2 345,2 344,2 531,2 0,0 1,1
463,1 343,3 412,3 460,1 345,2 421,1 428,2 1,1
551,2 533,2 542,2 345,1 344,2 531,2 0,0 1,1
463,1 412,3 343,3 486,1 345,2 344,2 417,2 1,1
441,2 533,2 152,1 344,1 542,1 531,1 426,1 2,2
441,2 533,3 152,1 344,1 542,1 531,2 426,2 1,1
441,2 533,2 152,1 344,1 542,2 531,2 426,1 1,1
441,2 409,2 152,1 344,2 345,1 417,1 423,2 1,1
441,2 533,3 152,1 344,2 542,2 531,2 426,1 1,1
551,2 532,2 345,2 542,2 320,1 351,2 411,1 1,1
441,2 533,3 152,1 344,1 542,1 531,1 426,1 5,5
441,2 533,3 152,1 344,2 542,1 531,1 426,3 2,2
441,2 533,2 152,1 344,2 542,2 531,2 426,3 1,1
551,2 533,3 320,1 542,1 270,1 418,1 420,1 1,1
441,2 413,2 410,3 415,1 345,2 417,2 416,1 1,1
441,2 533,2 152,1 344,2 542,2 531,1 426,1 1,1
441,2 533,2 152,1 344,2 542,1 531,1 426,3 1,1
441,2 533,2 152,1 344,2 542,2 531,2 426,2 1,1
551,2 533,3 532,3 542,2 320,1 414,1 427,1 1,1
441,2 152,1 344,1 414,2 415,2 417,2 149,1 1,1
156,1 412,1 532,1 530,1 531,1 542,1 345,1 1,1
156,1 533,1 343,1 530,1 531,1 152,1 455,1 1,1
156,1 542,1 533,1 530,1 531,1 150,1 192,1 1,1
441,2 533,2 152,1 344,2 542,1 531,2 426,3 1,1
441,2 533,2 152,1 344,2 542,1 531,1 426,1 3,4
551,2 533,3 542,1 345,2 344,2 531,1 0,0 3,4
441,2 533,2 152,1 344,1 542,1 531,2 426,1 3,4
441,2 533,3 152,1 344,2 542,1 531,1 426,2 3,4
441,2 533,3 152,1 344,2 542,1 531,2 426,1 5,7
441,2 533,3 152,1 344,2 542,2 531,1 426,3 2,3
551,1 530,1 351,1 345,1 531,1 344,1 429,1 2,3
441,2 413,3 410,2 345,2 416,2 344,2 417,2 2,3
441,2 412,3 444,1 421,1 344,2 345,2 422,1 2,3
441,2 533,3 152,1 344,1 542,2 531,1 426,1 2,3
441,2 533,2 152,1 344,2 542,1 531,1 426,2 2,3
441,2 413,3 410,3 345,2 416,2 344,2 417,1 3,5
156,1 542,1 533,1 345,1 344,1 531,1 150,1 19,37
441,2 533,3 152,1 344,1 542,1 531,2 426,1 1,2
441,1 533,1 152,1 344,1 542,1 531,1 426,1 7,14
441,2 533,3 152,1 344,2 542,1 531,1 426,1 3,6
156,1 152,1 345,1 344,1 417,1 419,1 0,0 3,6
441,2 533,3 152,1 344,2 542,2 531,2 426,3 1,2
551,1 533,1 542,1 344,1 531,1 417,1 409,1 3,6
441,2 152,1 409,3 345,2 344,2 417,2 0,0 3,6
551,1 532,1 543,1 0,0 0,0 0,0 0,0 1,2
551,2 533,2 542,1 345,1 344,2 531,1 0,0 1,2
551,2 533,2 542,1 345,2 344,2 531,1 0,0 1,2
551,1 533,1 0,0 0,0 0,0 0,0 0,0 1,2
551,2 542,1 533,2 345,1 344,1 417,1 409,1 1,2
551,2 542,1 533,3 345,2 344,2 417,1 409,1 1,2
441,2 409,3 152,1 344,2 345,2 417,1 423,3 1,2
441,2 413,3 410,3 345,2 416,2 344,2 417,2 4,8
463,1 343,3 412,3 460,1 345,2 421,1 428,1 1,2
441,2 533,2 152,1 344,1 542,2 531,1 426,1 2,4
551,1 542,1 533,1 345,1 344,1 417,1 409,1 19,40
156,1 542,1 533,1 345,1 344,1 411,1 150,1 12,28
156,1 533,1 542,1 344,1 345,1 411,1 150,1 7,17
441,1 413,1 410,1 345,1 344,1 417,1 416,1 4,10
551,2 533,3 542,2 345,2 344,2 531,1 0,0 2,5
551,1 533,1 542,1 345,1 344,1 531,1 0,0 3,8
441,2 409,3 152,1 344,2 345,2 417,2 423,1 3,8
441,2 409,3 152,1 344,2 345,2 417,2 423,3 3,8
156,1 533,1 532,1 530,1 531,1 542,1 427,1 13,39
441,2 409,3 152,1 344,2 345,2 417,2 423,2 2,6
441,1 413,1 345,1 415,1 416,1 417,1 344,1 2,6
441,1 413,1 345,1 150,1 417,1 148,1 416,1 1,3
551,2 533,2 542,2 345,2 344,2 531,1 0,0 1,3
551,1 533,1 542,1 345,1 343,1 543,1 0,0 1,3
441,2 413,3 410,1 345,2 416,2 344,2 417,2 1,3
441,2 409,2 152,1 344,2 345,2 417,2 423,3 1,3
551,2 533,3 542,2 345,2 344,2 531,2 0,0 1,3
156,1 409,1 415,1 412,1 190,1 414,1 417,1 2,6
441,1 409,1 152,1 344,1 345,1 417,1 423,1 3,10
441,2 413,3 410,1 345,2 416,2 344,2 417,1 1,4
551,1 533,1 542,1 344,1 531,1 343,1 409,1 2,8
441,2 152,1 409,2 345,2 344,2 417,2 0,0 1,4
441,1 413,1 410,1 345,1 415,1 416,1 417,1 1,4
551,1 533,1 542,1 344,1 343,1 531,1 409,1 1,5
441,1 413,1 410,1 415,1 345,1 417,1 416,1 1,5
156,1 413,1 190,1 344,1 345,1 152,1 0,0 2,11
156,1 412,1 413,1 530,1 150,1 417,1 414,1 1,6
156,1 190,1 151,1 412,1 415,1 423,1 417,1 3,24
441,1 412,1 152,1 193,1 194,1 417,1 416,1 0,2
441,1 409,1 533,1 428,1 414,1 531,1 543,1 0,2
156,1 412,1 532,1 530,1 531,1 542,1 152,1 0,1
551,1 152,1 343,1 430,1 448,1 345,1 344,1 0,1
551,2 542,1 533,2 345,2 344,2 417,1 409,1 0,1
441,2 409,1 152,1 344,1 345,1 417,1 423,1 0,1
156,1 150,1 190,1 196,1 195,1 409,1 0,0 0,1
441,1 533,1 532,1 544,1 428,1 423,1 0,0 0,1
441,1 147,1 193,1 415,1 423,1 543,1 196,1 0,1
156,1 424,1 544,1 532,1 530,1 193,1 426,1 0,1
441,2 413,2 410,3 345,2 416,2 344,2 417,2 0,1
441,2 412,3 152,2 193,1 194,2 417,2 416,2 0,1
441,1 425,1 152,1 409,1 151,1 191,1 417,1 0,1
239,1 432,1 243,1 351,2 429,1 276,1 409,3 0,1
441,2 409,3 419,2 351,2 429,2 417,2 416,2 0,1
441,2 412,3 152,1 193,1 194,1 417,2 416,2 0,4
441,1 533,1 428,1 532,1 190,1 426,1 542,1 0,1
156,1 542,1 533,1 530,1 531,1 150,1 344,1 0,4
441,1 409,1 533,1 190,1 150,1 415,1 543,1 0,2
441,1 544,1 533,1 409,1 151,1 426,1 417,1 0,2
156,1 542,1 533,1 530,1 531,1 150,1 429,1 0,1
463,1 444,1 448,1 351,1 429,1 543,3 420,2 0,1
156,1 424,1 532,1 531,1 150,1 414,1 0,0 0,1
441,1 152,1 412,1 193,1 424,1 531,1 543,1 0,2
441,1 413,1 415,1 345,1 417,1 344,1 416,1 0,2
441,1 544,1 410,1 152,1 150,1 427,1 543,1 0,1
441,2 152,1 409,3 345,1 344,2 417,2 0,0 0,2
441,2 532,3 530,1 448,1 345,1 351,2 531,1 0,1
441,2 460,1 419,1 351,2 429,1 242,2 409,3 0,1
551,2 343,3 410,3 351,2 429,2 242,1 543,3 0,1
441,2 413,3 410,3 415,2 345,2 417,2 416,2 0,1
156,2 542,2 533,2 345,1 344,1 531,1 150,1 0,1
441,1 533,1 147,1 425,1 428,1 426,1 531,1 0,1
441,1 409,1 532,1 533,1 146,1 150,1 196,1 0,1
551,2 444,1 419,2 351,2 429,2 415,2 0,0 0,1
441,1 533,1 411,1 416,1 148,1 417,1 344,1 0,1
441,1 533,1 532,1 409,1 190,1 148,1 149,1 0,1
441,1 190,1 533,1 424,1 429,1 427,1 148,1 0,1
551,1 343,1 426,1 344,1 350,1 425,1 349,1 0,1
156,1 426,1 532,1 195,1 530,1 424,1 152,1 0,3
156,1 152,1 151,1 345,1 424,1 344,1 148,1 0,4
441,2 413,3 488,1 344,2 417,2 411,3 412,3 0,1
156,1 150,1 409,1 533,1 411,1 428,1 193,1 0,2
441,1 533,1 544,1 193,1 150,1 416,1 149,1 0,2
441,1 425,1 428,1 413,1 193,1 530,1 195,1 0,1
441,2 532,1 152,1 530,1 345,1 448,1 427,1 0,1
441,1 152,1 150,1 417,1 148,1 192,1 344,1 0,1
441,1 147,1 412,1 190,1 532,1 428,1 146,1 0,2
156,2 152,2 420,1 351,1 429,2 417,2 416,2 0,1
156,2 533,2 151,2 345,2 542,1 419,1 422,1 0,1
441,2 152,1 409,3 345,1 344,1 417,2 0,0 0,1
441,2 152,1 409,1 345,1 344,1 417,2 0,0 0,1
441,1 190,1 413,1 150,1 149,1 531,1 423,1 0,2
441,1 152,1 533,1 344,1 531,1 149,1 427,1 0,1
441,1 544,1 147,1 424,1 149,1 543,1 192,1 0,2
441,2 413,2 410,3 345,2 344,1 417,2 416,2 0,1
441,1 425,1 152,1 409,1 193,1 417,1 192,1 0,2
156,2 233,3 243,2 351,2 429,2 242,3 409,3 0,1
441,2 413,1 410,3 345,2 344,2 417,2 416,2 0,1
441,2 413,3 410,2 345,2 344,1 417,1 416,2 0,1
441,2 533,3 151,1 417,2 344,2 531,1 422,1 0,1
441,2 409,2 152,1 344,2 345,2 417,1 423,3 0,4
441,2 409,2 152,1 344,2 345,2 417,1 423,1 0,1
441,2 152,1 409,3 345,2 344,1 417,2 0,0 0,2
441,2 409,3 152,1 344,2 345,2 417,1 423,1 0,2
441,2 343,1 419,2 351,1 429,2 430,1 543,3 0,1
441,2 152,1 409,3 345,2 415,2 417,2 344,2 0,1
441,1 413,1 533,1 542,1 423,1 150,1 195,1 0,1
551,2 412,1 343,2 533,2 542,1 531,1 528,1 0,1
441,1 152,1 409,1 345,1 415,1 417,1 344,1 0,2
441,1 533,1 425,1 424,1 426,1 148,1 543,1 0,1
551,2 542,2 533,3 345,1 344,1 417,1 409,1 0,1
441,2 413,2 410,1 415,1 345,2 417,1 416,1 0,1
156,1 533,1 488,1 345,1 485,1 409,1 0,0 0,1
441,2 532,1 343,3 529,1 416,2 344,2 542,1 0,1
441,2 409,1 152,1 344,2 345,2 417,1 423,2 0,1
463,1 422,1 241,2 414,2 345,2 421,1 243,2 0,1
551,2 343,3 532,2 344,2 542,2 543,2 531,1 0,1
441,2 413,3 410,3 415,1 345,2 417,2 416,2 0,1
441,1 343,1 413,1 420,1 345,1 344,1 416,1 0,1
441,2 413,2 410,3 415,1 345,2 417,2 416,2 0,2
551,2 533,3 542,2 344,1 531,1 343,3 409,1 0,1
441,2 412,3 345,1 411,3 409,3 417,2 344,2 0,1
441,2 533,3 152,1 344,1 542,2 531,1 426,3 0,3
441,2 412,3 152,2 193,1 194,1 417,2 416,2 0,1
441,1 425,1 190,1 409,1 533,1 424,1 415,1 0,2
441,2 425,3 344,2 345,2 417,2 419,1 0,0 0,1
551,2 428,2 409,1 429,2 320,1 344,2 199,1 0,1
441,2 533,3 152,1 344,2 542,2 531,1 426,1 0,4
441,2 533,2 152,1 344,2 542,1 531,2 426,1 0,3
441,2 422,1 412,3 409,3 460,1 419,1 530,1 0,1
441,2 412,3 345,2 411,3 409,3 417,2 344,2 0,1
441,1 412,1 410,1 152,1 424,1 427,1 149,1 0,1
463,1 343,3 444,1 542,2 421,1 345,2 0,0 0,1
441,2 412,3 410,3 413,3 415,2 416,2 344,2 0,1
156,1 542,1 533,1 531,1 415,1 417,1 150,1 0,1
441,1 147,1 152,1 409,1 146,1 423,1 195,1 0,1
441,2 533,3 152,1 344,1 542,2 531,1 426,2 0,1
441,1 425,1 190,1 193,1 424,1 194,1 196,1 0,1
156,1 150,1 191,1 151,1 193,1 0,0 0,0 0,1
441,1 412,1 532,1 193,1 149,1 196,1 148,1 0,1
441,1 412,1 151,1 426,1 194,1 415,1 195,1 0,1
441,1 428,1 544,1 151,1 414,1 542,1 195,1 0,1
441,1 190,1 428,1 152,1 414,1 194,1 416,1 0,1
156,1 424,1 412,1 409,1 428,1 413,1 426,1 0,1
441,1 413,1 410,1 345,1 415,1 417,1 416,1 0,2
441,1 152,1 411,1 415,1 344,1 417,1 345,1 0,2
441,2 533,3 152,1 344,2 542,2 531,1 426,2 0,2
441,1 152,1 151,1 415,1 417,1 409,1 345,1 0,1
156,1 152,1 151,1 345,1 344,1 192,1 414,1 0,1
441,1 147,1 428,1 190,1 146,1 426,1 424,1 0,1
156,1 426,1 411,1 149,1 425,1 152,1 542,1 0,1
441,2 533,1 152,1 344,2 542,1 531,1 426,1 0,1
441,1 413,1 410,1 415,1 345,1 416,1 417,1 0,1
441,1 412,1 151,1 533,1 150,1 424,1 416,1 0,1
441,1 409,1 533,1 413,1 146,1 149,1 416,1 0,1
441,2 533,3 152,1 344,2 542,1 531,2 426,3 0,1
441,1 533,1 410,1 191,1 423,1 148,1 427,1 0,1
441,1 428,1 533,1 414,1 193,1 149,1 195,1 0,1
441,1 413,1 152,1 193,1 417,1 427,1 416,1 0,1
441,2 533,2 152,1 344,2 542,2 531,1 426,3 0,2
441,1 152,1 344,1 414,1 415,1 417,1 149,1 0,1
441,1 190,1 533,1 424,1 542,1 148,1 427,1 0,1
551,2 343,1 532,2 344,2 542,1 543,3 531,1 0,1
441,2 533,3 152,1 344,2 542,2 531,2 426,2 0,1
156,1 542,1 533,1 530,1 531,1 150,1 544,1 0,1
