259,1 375,1 179,1 425,1 370,1 0,0 0,0 4,4
259,1 375,1 334,1 515,1 0,0 0,0 0,0 1,1
549,2 315,2 425,3 273,3 380,1 0,0 0,0 1,1
549,2 315,1 273,1 179,1 351,2 0,0 0,0 1,1
259,2 375,2 515,3 425,3 367,3 0,0 0,0 1,1
259,1 375,1 380,1 425,1 197,1 0,0 0,0 1,1
259,1 367,1 375,1 425,1 544,1 0,0 0,0 6,6
189,1 368,1 375,1 425,1 367,1 380,1 0,0 2,2
259,1 375,1 179,1 351,1 425,1 0,0 0,0 3,3
259,2 375,2 425,3 181,3 370,3 0,0 0,0 1,1
259,1 375,1 370,1 369,1 351,1 451,1 462,1 5,5
439,2 375,2 425,3 351,2 370,3 0,0 0,0 1,1
189,1 367,1 375,1 369,1 425,1 370,1 0,0 4,4
259,2 375,2 367,3 425,3 368,3 0,0 0,0 2,2
259,1 375,1 380,1 369,1 351,1 179,1 428,1 1,1
259,1 375,1 465,1 425,1 0,0 0,0 0,0 1,1
259,1 375,1 425,1 181,1 370,1 0,0 0,0 19,19
549,1 375,1 315,1 367,1 0,0 0,0 0,0 1,1
259,1 375,1 370,1 425,1 367,1 0,0 0,0 1,1
439,2 375,2 425,3 380,1 351,2 369,1 0,0 1,1
259,1 380,1 375,1 179,1 425,1 370,1 0,0 5,5
549,1 515,1 315,1 351,1 0,0 0,0 0,0 1,1
259,1 367,1 375,1 428,1 425,1 0,0 0,0 2,2
549,1 544,1 315,1 451,1 0,0 0,0 0,0 1,1
439,2 368,3 375,2 425,3 0,0 0,0 0,0 1,1
439,2 380,1 375,1 425,3 368,3 0,0 0,0 1,1
259,1 375,1 370,1 425,1 428,1 0,0 0,0 1,1
189,2 375,2 367,3 425,3 368,3 380,1 0,0 3,3
189,2 368,3 375,1 425,3 367,3 0,0 0,0 1,1
259,2 380,1 209,1 425,3 179,3 351,2 0,0 1,1
549,1 368,1 315,1 351,1 0,0 0,0 0,0 1,1
259,1 181,1 380,1 370,1 375,1 425,1 0,0 1,1
549,1 375,1 312,1 179,1 367,1 0,0 0,0 1,1
259,1 375,1 428,1 351,1 179,1 370,1 0,0 1,1
549,1 544,1 515,1 312,1 0,0 0,0 0,0 1,1
