463,1 422,1 409,3 343,3 345,1 344,2 420,2 1,1
156,1 542,1 533,1 448,1 344,1 0,0 0,0 1,1
156,2 533,3 542,1 344,2 411,3 0,0 0,0 1,1
239,1 542,2 269,1 422,1 0,0 0,0 0,0 1,1
551,1 533,1 542,1 317,1 0,0 0,0 0,0 3,3
441,2 532,3 344,1 530,1 343,3 0,0 0,0 1,1
156,2 542,1 533,3 344,1 427,2 426,3 0,0 1,1
551,2 533,3 542,1 344,1 0,0 0,0 0,0 1,1
441,1 344,1 409,1 411,1 345,1 343,1 0,0 1,1
441,1 343,1 426,1 414,1 345,1 344,1 455,1 1,1
156,2 542,1 533,2 344,1 149,1 426,1 0,0 1,1
156,1 542,1 533,1 344,1 149,1 426,1 0,0 1,1
551,1 533,1 542,1 343,1 0,0 0,0 0,0 2,3
156,1 533,1 542,1 344,1 150,1 0,0 0,0 4,7
156,1 542,1 533,1 344,1 427,1 426,1 0,0 166,293
156,1 152,1 344,1 421,1 0,0 0,0 0,0 21,38
551,1 426,1 409,1 533,1 530,1 0,0 0,0 10,19
156,1 533,1 542,1 344,1 411,1 0,0 0,0 14,27
441,2 428,2 150,1 345,2 344,2 0,0 0,0 1,2
551,1 533,1 542,1 344,1 0,0 0,0 0,0 1,2
156,1 344,1 533,1 542,1 409,1 343,1 0,0 2,4
441,2 413,3 345,2 344,2 426,2 0,0 0,0 1,2
156,1 542,1 533,1 150,1 344,1 0,0 0,0 2,5
156,1 542,1 533,1 344,1 149,1 409,1 0,0 3,8
156,1 152,1 345,1 344,1 0,0 0,0 0,0 17,48
156,1 409,1 414,1 411,1 345,1 344,1 455,1 1,3
156,1 542,1 533,1 530,1 149,1 0,0 0,0 4,12
156,1 413,1 414,1 345,1 344,1 0,0 0,0 1,3
156,1 409,1 413,1 414,1 345,1 411,1 0,0 4,17
551,1 544,1 531,1 0,0 0,0 0,0 0,0 1,5
551,1 533,1 542,1 0,0 0,0 0,0 0,0 1,7
551,1 533,1 531,1 0,0 0,0 0,0 0,0 1,7
156,1 152,1 344,1 345,1 0,0 0,0 0,0 1,9
551,1 533,1 543,1 0,0 0,0 0,0 0,0 1,9
156,1 533,1 194,1 344,1 427,1 0,0 0,0 1,10
156,1 152,1 190,1 150,1 0,0 0,0 0,0 0,8
441,1 412,1 414,1 351,1 411,1 424,1 344,1 0,1
441,1 147,1 152,1 149,1 196,1 0,0 0,0 0,1
441,1 428,1 151,1 193,1 414,1 427,1 0,0 0,2
156,1 409,1 0,0 0,0 0,0 0,0 0,0 0,2
441,1 533,1 409,1 151,1 149,1 0,0 0,0 0,1
156,1 150,1 542,1 532,1 417,1 0,0 0,0 0,1
156,1 542,1 533,1 196,1 150,1 0,0 0,0 0,1
156,1 150,1 416,1 428,1 409,1 0,0 0,0 0,1
551,1 345,1 448,1 343,1 344,1 0,0 0,0 0,1
441,2 532,1 343,3 344,2 542,1 427,1 0,0 0,1
156,1 152,1 344,1 417,1 0,0 0,0 0,0 0,1
441,2 343,3 420,1 414,2 344,2 423,3 427,1 0,1
261,2 455,2 426,2 411,3 345,2 415,2 414,2 0,1
551,2 533,3 531,1 0,0 0,0 0,0 0,0 0,1
156,1 542,1 533,1 344,1 409,1 149,1 422,1 0,1
156,1 349,1 351,1 429,1 422,1 0,0 0,0 0,1
156,1 533,1 344,1 411,1 351,1 0,0 0,0 0,1
551,2 533,3 320,1 0,0 0,0 0,0 0,0 0,1
441,1 544,1 412,1 424,1 196,1 427,1 0,0 0,2
551,2 426,3 409,1 533,3 530,1 0,0 0,0 0,1
441,2 412,3 455,2 414,2 411,3 415,2 344,2 0,1
261,2 343,3 485,3 411,3 351,2 344,2 409,3 0,1
441,1 532,1 196,1 427,1 416,1 0,0 0,0 0,1
551,1 426,1 0,0 0,0 0,0 0,0 0,0 0,5
463,1 422,1 444,1 149,1 448,1 0,0 0,0 0,1
156,1 412,1 409,1 455,1 345,1 351,1 411,1 0,2
156,1 409,1 426,1 147,1 412,1 190,1 414,1 0,2
156,2 533,3 542,2 344,2 411,3 0,0 0,0 0,1
441,2 413,1 345,2 344,2 426,2 0,0 0,0 0,1
551,2 533,2 542,1 343,3 0,0 0,0 0,0 0,1
441,2 343,3 345,2 417,2 426,3 427,2 0,0 0,1
156,1 349,1 351,1 350,1 0,0 0,0 0,0 0,1
156,1 426,1 193,1 190,1 409,1 0,0 0,0 0,1
156,2 409,3 420,2 345,2 415,2 455,2 411,3 0,1
551,2 533,3 542,1 343,3 0,0 0,0 0,0 0,1
156,1 413,1 409,1 414,1 344,1 411,1 150,1 0,1
441,2 409,3 343,3 345,2 344,2 351,2 0,0 0,1
156,1 409,1 190,1 425,1 424,1 0,0 0,0 0,1
441,2 413,3 345,2 344,2 426,3 0,0 0,0 0,7
551,2 533,2 531,1 0,0 0,0 0,0 0,0 0,1
441,2 455,2 410,1 412,3 411,3 343,3 344,2 0,1
441,1 412,1 190,1 409,1 414,1 194,1 0,0 0,1
551,1 409,1 343,1 345,1 448,1 542,1 0,0 0,1
441,2 532,1 345,1 344,2 0,0 0,0 0,0 0,1
156,1 542,1 533,1 344,1 427,1 409,1 0,0 0,1
156,1 190,1 409,1 414,1 426,1 427,1 149,1 0,1
551,2 426,1 0,0 0,0 0,0 0,0 0,0 0,1
551,2 426,1 409,3 533,3 530,1 0,0 0,0 0,2
551,2 426,1 409,1 533,3 530,1 0,0 0,0 0,1
441,1 409,1 533,1 532,1 426,1 0,0 0,0 0,1
551,1 532,1 428,1 487,1 0,0 0,0 0,0 0,1
441,2 428,2 343,3 530,1 345,1 0,0 0,0 0,1
441,1 152,1 425,1 542,1 0,0 0,0 0,0 0,1
261,1 533,1 150,1 349,1 0,0 0,0 0,0 0,1
156,1 533,1 542,1 532,1 0,0 0,0 0,0 0,1
551,1 409,1 0,0 0,0 0,0 0,0 0,0 0,2
441,1 412,1 410,1 455,1 411,1 414,1 415,1 0,1
441,1 152,1 426,1 543,1 149,1 0,0 0,0 0,1
441,2 409,3 0,0 0,0 0,0 0,0 0,0 0,2
551,2 426,1 409,2 533,3 530,1 0,0 0,0 0,1
463,1 343,3 530,1 345,2 420,1 0,0 0,0 0,1
441,2 412,3 410,3 455,2 411,3 414,2 415,2 0,1
261,2 343,3 485,3 411,3 351,2 409,3 344,2 0,1
156,1 152,1 344,1 345,1 422,1 0,0 0,0 0,1
441,1 190,1 409,1 414,1 426,1 196,1 149,1 0,1
441,1 190,1 152,1 427,1 0,0 0,0 0,0 0,1
156,1 413,1 414,1 411,1 146,1 150,1 0,0 0,1
156,2 152,2 151,2 344,2 409,3 0,0 0,0 0,1
463,1 343,3 530,2 345,2 420,1 0,0 0,0 0,1
441,1 409,1 152,1 191,1 194,1 149,1 0,0 0,1
441,1 409,1 190,1 150,1 426,1 148,1 0,0 0,1
156,1 344,1 152,1 411,1 414,1 427,1 0,0 0,1
441,1 152,1 344,1 234,1 0,0 0,0 0,0 0,1
156,1 152,1 424,1 411,1 344,1 0,0 0,0 0,2
156,1 343,1 532,1 530,1 426,1 351,1 409,1 0,1
551,2 426,1 409,3 533,2 530,1 0,0 0,0 0,1
441,1 428,1 150,1 148,1 423,1 0,0 0,0 0,1
156,1 349,1 351,1 429,1 0,0 0,0 0,0 0,1
156,1 344,1 345,1 532,1 0,0 0,0 0,0 0,2
551,2 533,3 542,2 0,0 0,0 0,0 0,0 0,1
441,1 533,1 414,1 416,1 149,1 0,0 0,0 0,1
441,2 422,1 444,1 542,2 344,2 0,0 0,0 0,1
156,1 542,1 533,1 420,1 344,1 409,1 0,0 0,1
