442,1 533,3 344,2 546,1 422,1 409,3 0,0 1,1
291,1 426,3 169,1 394,1 177,1 0,0 0,0 1,1
442,1 436,1 546,1 457,2 351,2 346,2 408,1 1,1
442,1 436,1 459,1 392,1 346,2 386,2 394,1 1,1
224,1 542,1 337,1 339,1 0,0 0,0 0,0 1,1
224,1 533,1 343,1 0,0 0,0 0,0 0,0 1,1
552,1 339,1 307,1 337,1 0,0 0,0 0,0 1,1
224,1 343,1 344,1 345,1 409,1 546,1 0,0 1,1
552,1 315,1 514,1 0,0 0,0 0,0 0,0 1,1
262,2 348,2 409,3 420,2 344,2 422,1 0,0 1,1
442,1 436,1 457,2 490,2 351,2 0,0 0,0 1,1
552,2 346,1 426,1 546,1 312,1 542,2 0,0 1,1
442,1 426,1 436,1 359,2 346,2 341,2 366,1 2,3
442,1 361,2 357,3 351,2 353,3 0,0 0,0 2,3
552,1 542,1 514,1 543,1 0,0 0,0 0,0 1,2
224,1 339,1 337,1 452,1 0,0 0,0 0,0 1,2
224,1 533,1 344,1 409,1 0,0 0,0 0,0 2,6
224,1 333,1 544,1 0,0 0,0 0,0 0,0 1,3
224,1 533,1 343,1 351,1 546,1 0,0 0,0 1,3
224,1 343,1 345,1 544,1 0,0 0,0 0,0 1,4
224,1 343,1 344,1 409,1 0,0 0,0 0,0 1,5
442,1 361,1 353,1 359,1 357,1 0,0 0,0 0,1
224,1 533,1 0,0 0,0 0,0 0,0 0,0 0,1
224,1 395,1 0,0 0,0 0,0 0,0 0,0 0,3
224,1 353,1 0,0 0,0 0,0 0,0 0,0 0,10
224,1 367,1 0,0 0,0 0,0 0,0 0,0 0,1
552,2 409,3 455,2 330,1 346,2 422,1 0,0 0,1
442,1 533,3 344,2 346,2 0,0 0,0 0,0 0,1
442,1 361,2 357,3 351,1 353,3 0,0 0,0 0,1
442,1 340,3 366,1 346,2 364,1 358,2 359,2 0,2
552,2 514,3 315,1 0,0 0,0 0,0 0,0 0,1
224,1 348,1 424,1 344,1 0,0 0,0 0,0 0,1
224,1 426,1 0,0 0,0 0,0 0,0 0,0 0,1
552,1 528,1 428,1 346,1 409,1 0,0 0,0 0,1
552,1 339,1 337,1 0,0 0,0 0,0 0,0 0,1
552,1 436,1 320,1 546,1 422,1 0,0 0,0 0,1
442,1 361,1 357,1 351,1 353,3 0,0 0,0 0,1
442,1 348,2 344,2 420,2 426,3 422,1 0,0 0,1
262,1 533,1 344,1 346,1 0,0 0,0 0,0 0,1
224,1 361,1 426,1 353,1 359,1 346,1 427,1 0,1
442,1 348,2 351,2 542,2 0,0 0,0 0,0 0,1
442,1 343,3 409,3 420,2 415,2 344,2 346,2 0,1
442,1 428,2 462,1 192,1 346,2 546,1 0,0 0,1
552,2 542,2 514,2 543,3 0,0 0,0 0,0 0,1
