442,1 339,1 450,1 390,2 387,2 242,1 433,1 1,1
442,1 348,2 450,1 493,1 535,1 203,1 492,1 1,1
442,1 348,2 421,1 344,2 433,1 419,2 417,2 1,1
442,1 432,1 450,1 345,2 421,1 344,2 433,1 2,2
552,1 520,1 339,1 542,1 521,1 452,1 543,1 1,1
552,1 520,1 339,1 543,1 521,1 452,1 0,0 1,1
442,1 348,2 450,1 433,1 406,1 430,1 333,2 2,2
552,2 348,2 540,1 312,1 188,1 371,1 372,1 1,1
442,1 348,2 450,1 333,2 406,1 433,1 461,1 2,2
552,1 520,1 339,1 543,1 521,1 305,1 519,1 1,1
442,1 444,1 450,1 436,1 531,2 433,1 421,1 1,1
552,1 520,1 339,1 543,1 521,1 519,1 544,1 1,1
552,1 520,1 339,1 543,1 521,1 544,1 0,0 1,1
554,1 492,1 450,1 210,1 433,1 469,1 556,1 1,1
442,1 413,1 425,3 350,2 345,2 344,1 419,1 1,1
552,1 388,1 339,1 338,1 520,1 242,1 280,1 1,1
552,1 544,1 339,1 543,1 521,1 519,1 0,0 2,2
442,1 348,2 450,1 433,1 371,1 379,1 372,1 1,1
554,1 492,1 450,1 433,1 393,1 387,2 474,1 1,1
552,1 544,1 543,1 542,1 320,1 545,1 531,1 1,1
552,1 520,1 517,1 542,1 543,1 519,1 544,1 1,2
224,1 343,1 345,1 544,1 0,0 0,0 0,0 1,2
552,1 520,1 339,1 542,1 543,1 452,1 544,1 1,2
224,1 348,1 162,1 333,1 402,1 163,1 161,1 1,3
224,1 348,1 425,1 427,1 333,1 350,1 544,1 0,1
224,1 348,1 425,1 345,1 417,1 344,1 152,1 0,1
442,1 432,1 450,1 345,1 421,1 344,1 433,1 0,1
224,1 348,1 533,1 344,1 350,1 417,1 152,1 0,2
552,2 521,3 308,1 450,1 508,1 433,1 491,1 0,1
224,2 348,2 162,1 163,1 333,2 402,2 161,1 0,1
224,1 348,1 533,1 350,1 344,1 417,1 152,1 0,4
552,1 361,1 342,1 433,1 435,1 360,1 543,1 0,1
224,1 409,1 0,0 0,0 0,0 0,0 0,0 0,2
552,1 520,1 543,1 521,1 519,1 544,1 0,0 0,1
554,1 152,1 286,1 433,1 435,1 243,2 419,1 0,1
224,1 348,1 344,1 533,1 417,1 350,1 152,1 0,3
442,1 544,3 450,1 457,2 351,2 423,1 433,1 0,1
442,1 348,2 425,1 520,3 516,1 385,3 391,1 0,1
552,2 348,1 538,3 539,3 406,1 401,1 333,1 0,1
552,1 315,1 433,1 249,1 371,1 377,1 242,1 0,1
224,1 348,1 368,1 427,1 350,1 425,1 190,1 0,1
224,1 426,1 0,0 0,0 0,0 0,0 0,0 0,1
224,1 527,1 544,1 526,1 0,0 0,0 0,0 0,3
262,1 348,1 450,1 339,1 390,1 435,1 391,1 0,1
552,2 520,3 517,1 542,1 543,3 519,1 544,3 0,1
