551,2 343,2 411,3 344,1 426,3 0,0 0,0 0,1
441,1 532,1 0,0 0,0 0,0 0,0 0,0 0,1
441,2 409,3 411,3 414,2 343,1 344,1 0,0 0,3
441,2 533,2 412,3 0,0 0,0 0,0 0,0 0,3
156,2 409,3 426,1 424,3 150,1 411,3 414,2 0,1
441,1 152,1 429,1 0,0 0,0 0,0 0,0 0,1
441,1 544,1 413,1 0,0 0,0 0,0 0,0 0,1
441,1 343,1 414,1 344,1 351,1 426,1 422,1 0,1
441,2 409,3 455,2 414,2 343,3 416,2 0,0 0,1
441,1 532,1 409,1 194,1 0,0 0,0 0,0 0,3
156,1 344,1 409,1 414,1 426,1 343,1 411,1 0,2
441,2 533,2 409,1 414,1 0,0 0,0 0,0 0,1
441,1 409,1 413,1 426,1 415,1 0,0 0,0 0,2
441,1 428,1 410,1 344,1 0,0 0,0 0,0 0,1
441,1 533,1 409,1 414,1 0,0 0,0 0,0 0,2
156,2 409,3 426,2 424,2 150,1 411,3 414,1 0,1
441,2 412,2 411,3 344,2 414,2 0,0 0,0 0,1
156,1 409,1 415,1 150,1 414,1 411,1 0,0 0,1
463,1 422,1 409,3 455,2 420,1 414,2 411,2 0,1
441,2 533,3 409,1 414,1 0,0 0,0 0,0 0,1
441,2 343,3 455,2 414,2 411,3 351,1 422,1 0,1
441,1 533,1 150,1 0,0 0,0 0,0 0,0 0,2
441,1 532,1 455,1 427,1 426,1 0,0 0,0 0,1
441,2 428,2 351,2 542,1 427,1 0,0 0,0 0,1
441,2 152,1 409,3 414,2 426,1 0,0 0,0 0,2
441,1 533,1 424,1 0,0 0,0 0,0 0,0 0,3
156,1 412,1 409,1 411,1 414,1 415,1 0,0 0,1
441,1 544,1 409,1 426,1 194,1 0,0 0,0 0,1
441,2 343,3 448,1 351,2 344,2 0,0 0,0 0,1
156,1 343,1 409,1 411,1 344,1 351,1 0,0 0,3
156,2 409,3 426,3 424,2 150,1 411,3 414,1 0,1
156,1 409,1 426,1 343,1 411,1 414,1 344,1 0,1
441,2 152,2 409,3 414,2 426,3 0,0 0,0 0,1
441,1 533,1 409,1 426,1 0,0 0,0 0,0 0,2
441,1 409,1 425,1 410,1 0,0 0,0 0,0 0,1
441,1 409,1 532,1 194,1 0,0 0,0 0,0 0,1
441,2 413,3 344,1 427,1 422,1 0,0 0,0 0,2
261,1 409,1 415,1 150,1 411,1 414,1 0,0 0,1
156,1 412,1 414,1 411,1 415,1 409,1 0,0 0,1
551,2 533,3 409,1 0,0 0,0 0,0 0,0 0,1
441,1 343,1 542,1 344,1 351,1 0,0 0,0 0,1
156,1 409,1 344,1 411,1 414,1 343,1 426,1 0,1
441,1 412,1 533,1 0,0 0,0 0,0 0,0 0,1
441,1 409,1 455,1 414,1 343,1 416,1 0,0 0,1
441,2 152,1 344,1 0,0 0,0 0,0 0,0 0,1
441,2 428,2 542,2 416,2 0,0 0,0 0,0 0,3
441,1 412,1 410,1 414,1 150,1 0,0 0,0 0,1
441,2 533,3 191,3 0,0 0,0 0,0 0,0 0,1
156,1 422,1 529,1 420,1 0,0 0,0 0,0 0,1
441,2 533,2 191,3 0,0 0,0 0,0 0,0 0,1
441,1 413,1 424,1 343,1 0,0 0,0 0,0 0,2
441,2 409,3 455,2 411,3 414,2 344,2 0,0 0,1
441,2 152,2 409,3 414,2 426,1 0,0 0,0 0,1
441,1 425,1 148,1 0,0 0,0 0,0 0,0 0,1
441,1 425,1 150,1 427,1 0,0 0,0 0,0 0,1
441,2 409,3 411,3 414,2 343,1 344,2 0,0 0,3
156,2 533,2 344,1 0,0 0,0 0,0 0,0 0,1
551,2 542,2 531,1 0,0 0,0 0,0 0,0 0,1
551,2 533,2 0,0 0,0 0,0 0,0 0,0 0,1
551,1 542,1 531,1 0,0 0,0 0,0 0,0 0,2
261,2 422,1 409,3 411,3 485,3 351,2 0,0 0,1
551,2 542,2 531,2 0,0 0,0 0,0 0,0 0,1
551,1 542,1 543,1 0,0 0,0 0,0 0,0 0,1
441,2 190,1 428,1 0,0 0,0 0,0 0,0 0,1
441,2 152,1 414,2 427,1 0,0 0,0 0,0 0,2
441,2 409,3 455,1 414,2 343,3 416,2 0,0 0,1
551,1 409,1 0,0 0,0 0,0 0,0 0,0 0,2
441,1 413,1 344,1 343,1 0,0 0,0 0,0 0,1
441,1 190,1 428,1 0,0 0,0 0,0 0,0 0,1
441,1 422,1 351,1 0,0 0,0 0,0 0,0 0,1
156,1 533,1 414,1 409,1 426,1 0,0 0,0 0,1
156,1 343,1 409,1 344,1 411,1 414,1 426,1 0,1
441,2 343,3 426,3 487,1 344,2 0,0 0,0 0,1
551,2 343,3 320,1 409,3 0,0 0,0 0,0 0,1
156,1 343,1 414,1 411,1 344,1 409,1 426,1 0,1
