224,2 353,3 341,2 359,1 346,2 0,0 0,0 2,2
224,1 361,1 138,1 346,1 0,0 0,0 0,0 1,1
552,2 544,1 343,1 0,0 0,0 0,0 0,0 1,1
224,1 353,1 426,1 136,1 359,1 555,1 346,1 1,1
442,1 348,2 394,1 392,1 0,0 0,0 0,0 1,1
224,2 353,3 426,3 136,2 359,1 346,2 427,2 1,1
442,1 366,1 353,3 546,1 341,2 346,2 364,1 2,2
442,1 426,1 436,1 380,1 346,2 378,1 0,0 1,1
224,1 398,1 426,1 158,1 163,1 0,0 0,0 2,2
503,2 380,1 436,1 336,1 346,3 0,0 0,0 1,1
552,2 514,1 542,1 0,0 0,0 0,0 0,0 1,1
224,1 375,1 0,0 0,0 0,0 0,0 0,0 1,1
224,1 408,1 395,1 426,1 158,1 163,1 546,1 1,1
442,1 436,1 392,1 351,2 0,0 0,0 0,0 1,1
262,2 348,2 346,2 0,0 0,0 0,0 0,0 1,1
552,1 544,1 311,1 0,0 0,0 0,0 0,0 1,1
552,1 544,1 301,1 0,0 0,0 0,0 0,0 1,1
552,1 544,1 343,1 0,0 0,0 0,0 0,0 1,1
442,1 436,1 359,2 346,2 366,1 0,0 0,0 1,1
224,1 353,1 426,1 546,1 359,1 346,1 138,1 50,61
224,1 353,1 436,1 346,1 427,1 366,1 0,0 9,11
224,1 136,1 353,1 426,1 359,1 427,1 346,1 8,10
224,1 348,1 380,1 346,1 0,0 0,0 0,0 7,9
224,1 339,1 346,1 0,0 0,0 0,0 0,0 10,14
224,1 353,1 426,1 366,1 359,1 358,1 346,1 10,14
224,1 353,1 341,1 359,1 346,1 0,0 0,0 2,3
224,1 136,1 353,1 359,1 141,1 138,1 0,0 2,3
224,1 436,1 359,1 427,1 0,0 0,0 0,0 14,21
224,1 361,1 136,1 359,1 0,0 0,0 0,0 7,11
224,1 136,1 353,1 546,1 359,1 358,1 426,1 19,30
224,1 353,1 426,1 136,1 359,1 346,1 427,1 54,92
224,1 348,1 172,1 0,0 0,0 0,0 0,0 4,7
224,1 353,1 546,1 359,1 357,1 0,0 0,0 4,7
442,1 348,2 346,2 0,0 0,0 0,0 0,0 4,7
224,1 353,1 426,1 136,1 138,1 359,1 346,1 65,126
224,1 348,1 555,1 0,0 0,0 0,0 0,0 1,2
224,1 427,1 426,1 158,1 163,1 0,0 0,0 1,2
552,1 544,1 527,1 0,0 0,0 0,0 0,0 3,6
552,1 514,1 513,1 0,0 0,0 0,0 0,0 5,11
552,1 514,1 542,1 0,0 0,0 0,0 0,0 3,7
552,1 409,1 0,0 0,0 0,0 0,0 0,0 3,7
552,1 514,1 0,0 0,0 0,0 0,0 0,0 2,5
240,1 348,1 426,1 346,1 0,0 0,0 0,0 1,3
240,1 361,1 359,1 346,1 0,0 0,0 0,0 1,3
224,1 346,1 353,1 426,1 136,1 359,1 427,1 4,13
224,1 353,1 426,1 546,1 359,1 358,1 136,1 3,10
552,1 515,1 0,0 0,0 0,0 0,0 0,0 2,7
224,1 395,1 424,1 402,1 426,1 0,0 0,0 4,15
224,1 353,1 426,1 141,1 359,1 138,1 0,0 1,4
224,1 361,1 359,1 136,1 0,0 0,0 0,0 1,4
224,1 361,1 353,1 359,1 0,0 0,0 0,0 2,9
552,1 395,1 0,0 0,0 0,0 0,0 0,0 1,5
552,1 544,1 0,0 0,0 0,0 0,0 0,0 2,10
224,1 348,1 346,1 0,0 0,0 0,0 0,0 2,12
224,2 348,2 346,2 0,0 0,0 0,0 0,0 0,2
224,1 184,1 346,1 0,0 0,0 0,0 0,0 0,3
224,2 348,2 346,1 0,0 0,0 0,0 0,0 0,1
224,1 361,1 346,1 427,1 0,0 0,0 0,0 0,3
552,1 514,1 542,1 311,1 0,0 0,0 0,0 0,1
224,2 353,3 426,3 136,1 359,2 346,2 427,2 0,1
442,1 426,3 459,1 427,2 346,2 392,1 394,1 0,1
224,1 353,1 426,1 136,1 427,1 359,1 346,1 0,1
224,1 162,1 158,1 0,0 0,0 0,0 0,0 0,1
552,1 514,1 311,1 0,0 0,0 0,0 0,0 0,1
224,1 361,1 427,1 346,1 0,0 0,0 0,0 0,1
224,1 346,1 426,1 353,1 136,1 138,1 359,1 0,1
224,1 353,1 426,1 359,1 358,1 346,1 0,0 0,1
224,2 395,3 424,3 402,2 426,3 0,0 0,0 0,1
224,1 343,1 409,1 414,1 411,1 346,1 0,0 0,1
224,1 409,1 414,1 411,1 351,1 0,0 0,0 0,1
224,2 353,3 426,3 136,1 359,1 346,2 427,1 0,3
224,1 353,1 426,1 359,1 138,1 141,1 0,0 0,2
224,1 361,1 359,1 353,1 0,0 0,0 0,0 0,1
552,2 514,3 513,2 0,0 0,0 0,0 0,0 0,1
552,1 353,1 0,0 0,0 0,0 0,0 0,0 0,2
552,2 514,2 513,2 0,0 0,0 0,0 0,0 0,1
552,2 514,3 513,1 0,0 0,0 0,0 0,0 0,1
552,1 314,1 367,1 0,0 0,0 0,0 0,0 0,1
552,2 514,2 513,1 0,0 0,0 0,0 0,0 0,1
224,1 395,1 426,1 158,1 402,1 408,1 0,0 0,1
224,2 353,3 426,3 546,1 359,1 346,2 138,1 0,1
442,1 348,2 346,2 422,1 0,0 0,0 0,0 0,1
552,2 544,2 527,2 0,0 0,0 0,0 0,0 0,1
552,2 348,2 0,0 0,0 0,0 0,0 0,0 0,1
552,2 514,3 0,0 0,0 0,0 0,0 0,0 0,1
224,1 426,1 0,0 0,0 0,0 0,0 0,0 0,1
552,2 544,2 343,1 0,0 0,0 0,0 0,0 0,1
552,2 544,3 343,1 0,0 0,0 0,0 0,0 0,1
442,1 408,1 348,2 346,2 0,0 0,0 0,0 0,1
