261,2 343,3 409,3 344,2 351,2 411,3 485,3 1,1
441,2 413,3 344,2 419,1 422,1 0,0 0,0 1,1
441,2 343,3 409,3 415,2 417,2 344,2 426,2 1,1
441,2 409,3 414,2 415,2 150,1 417,2 149,1 1,1
441,2 343,3 409,3 415,2 150,1 417,2 414,2 1,1
463,1 343,3 422,1 414,2 485,1 411,3 351,2 2,2
441,2 343,3 422,1 455,2 415,2 417,2 344,2 1,1
156,2 409,1 414,1 415,1 150,1 417,2 411,1 1,1
441,2 343,3 420,1 414,2 344,2 423,3 427,1 1,1
156,2 412,3 426,1 415,2 417,2 150,2 414,2 1,1
502,2 343,3 409,3 420,2 415,3 288,3 153,2 1,1
156,2 409,3 414,1 415,1 150,1 417,2 411,3 1,1
551,2 343,3 344,1 542,1 320,2 0,0 0,0 1,1
551,2 533,3 320,1 0,0 0,0 0,0 0,0 1,1
441,2 422,1 152,1 344,2 417,2 0,0 0,0 1,1
551,1 532,1 320,1 343,1 0,0 0,0 0,0 1,1
441,2 152,1 344,2 427,2 424,3 0,0 0,0 1,1
441,2 152,1 424,3 411,3 344,1 0,0 0,0 4,4
502,1 152,1 411,2 344,1 424,2 0,0 0,0 1,1
156,1 343,1 149,1 415,1 150,1 417,1 414,1 2,2
441,1 413,1 344,1 419,1 0,0 0,0 0,0 1,1
261,2 343,3 420,2 415,2 153,2 345,1 422,1 1,1
463,1 343,3 411,3 351,2 414,2 485,1 422,1 1,1
156,2 413,3 344,2 414,2 411,1 351,2 409,1 1,1
156,2 412,3 426,1 415,1 417,1 150,1 414,1 1,1
463,1 343,3 411,3 351,2 414,2 485,3 422,1 1,1
441,2 343,1 409,3 415,2 150,2 417,2 414,2 1,1
156,2 413,3 344,2 414,1 411,3 351,2 409,3 1,1
156,2 409,3 414,2 415,1 150,1 417,2 411,3 1,1
156,2 409,3 414,2 415,2 150,1 417,2 411,3 1,1
441,2 413,3 344,1 419,1 0,0 0,0 0,0 1,1
551,2 533,2 320,1 0,0 0,0 0,0 0,0 1,1
156,2 409,3 414,1 415,2 150,1 417,2 411,3 1,1
441,2 152,1 424,2 411,1 344,1 0,0 0,0 1,1
156,1 413,1 409,1 415,1 150,1 411,1 414,1 1,1
441,2 343,3 420,1 415,2 344,2 417,2 422,1 1,1
441,2 413,3 344,2 419,2 0,0 0,0 0,0 5,6
441,2 152,1 424,3 411,3 344,2 0,0 0,0 28,37
441,2 413,3 344,2 417,2 427,2 0,0 0,0 3,4
441,2 152,1 424,3 411,2 344,2 0,0 0,0 5,7
441,2 413,3 344,2 417,1 427,2 0,0 0,0 2,3
441,2 152,1 344,2 427,1 424,1 0,0 0,0 2,3
441,2 343,3 344,2 411,3 415,2 414,2 351,2 2,3
441,1 343,1 426,1 150,1 417,1 344,1 414,1 6,9
441,1 409,1 152,1 151,1 411,1 0,0 0,0 2,3
441,2 413,3 344,2 417,1 427,1 0,0 0,0 9,14
441,2 152,1 344,2 417,1 0,0 0,0 0,0 3,5
441,2 152,1 344,2 417,2 0,0 0,0 0,0 15,25
441,2 413,3 344,2 417,2 427,1 0,0 0,0 17,29
441,2 413,3 344,2 419,1 0,0 0,0 0,0 7,12
441,2 152,1 344,2 427,2 424,1 0,0 0,0 4,7
441,2 152,1 424,1 411,3 344,1 0,0 0,0 4,7
156,1 343,1 409,1 345,1 415,1 414,1 411,1 8,14
156,1 409,1 414,1 415,1 411,1 150,1 417,1 24,42
156,1 409,1 412,1 414,1 415,1 417,1 150,1 75,136
441,1 152,1 344,1 417,1 0,0 0,0 0,0 11,20
441,2 343,3 150,1 411,3 417,2 344,2 422,1 6,11
441,2 152,1 424,1 411,3 344,2 0,0 0,0 6,11
441,1 343,1 409,1 415,1 150,1 417,1 414,1 26,51
156,1 542,1 413,1 344,1 411,1 414,1 409,1 4,8
441,2 343,3 413,2 344,2 417,2 422,1 0,0 1,2
156,1 349,1 351,1 350,1 0,0 0,0 0,0 1,2
441,2 152,1 424,2 411,3 344,2 0,0 0,0 2,4
156,1 542,1 533,1 344,1 414,1 409,1 0,0 2,4
441,1 409,1 427,1 415,1 150,1 417,1 414,1 1,2
156,1 409,1 414,1 411,1 415,1 150,1 417,1 1,2
441,2 422,1 152,1 344,2 417,1 0,0 0,0 3,6
441,2 152,1 344,1 417,2 0,0 0,0 0,0 6,12
156,1 412,1 409,1 150,1 415,1 417,1 414,1 5,10
441,1 425,1 413,1 427,1 542,1 0,0 0,0 1,2
441,2 413,3 344,2 419,2 422,1 0,0 0,0 1,2
156,1 409,1 414,1 415,1 150,1 417,1 411,1 46,105
441,1 152,1 344,1 427,1 424,1 0,0 0,0 8,19
441,1 152,1 424,1 411,1 344,1 0,0 0,0 21,51
551,1 533,1 531,1 0,0 0,0 0,0 0,0 4,10
441,2 152,1 424,1 411,1 344,1 0,0 0,0 2,5
441,2 152,1 424,2 411,3 344,1 0,0 0,0 2,5
156,1 412,1 426,1 415,1 417,1 150,1 414,1 6,16
156,1 343,1 427,1 415,1 150,1 417,1 414,1 1,3
441,2 152,1 424,2 411,2 344,2 0,0 0,0 1,3
441,2 152,1 424,3 411,1 344,2 0,0 0,0 1,3
441,1 409,1 533,1 414,1 417,1 0,0 0,0 1,3
441,2 152,1 344,1 427,1 424,1 0,0 0,0 1,3
441,2 152,1 424,3 411,1 344,1 0,0 0,0 1,3
441,2 152,1 344,1 417,1 0,0 0,0 0,0 1,3
441,1 412,1 409,1 455,1 414,1 415,1 417,1 1,3
156,1 343,1 409,1 345,1 415,1 150,1 427,1 4,13
441,1 533,1 191,1 411,1 150,1 0,0 0,0 2,7
156,1 413,1 344,1 414,1 411,1 351,1 409,1 6,23
441,2 412,3 411,3 414,2 343,3 415,2 344,2 1,4
156,1 413,1 415,1 150,1 414,1 411,1 409,1 1,4
441,1 409,1 414,1 415,1 150,1 417,1 149,1 1,4
441,1 425,1 409,1 426,1 149,1 531,1 0,0 1,5
441,1 152,1 150,1 415,1 542,1 0,0 0,0 1,7
441,1 533,1 409,1 152,1 0,0 0,0 0,0 1,7
441,2 409,3 343,3 351,2 344,2 416,2 542,1 0,1
