440,2 162,1 538,2 424,2 158,1 161,1 163,1 1,1
440,2 162,2 395,3 333,2 401,2 158,3 351,2 1,1
440,2 405,1 397,3 351,2 448,1 536,1 401,2 1,1
440,2 538,3 542,1 402,2 333,2 539,3 0,0 1,1
440,1 405,1 538,1 351,1 158,1 401,1 454,1 1,1
440,2 428,2 351,2 401,2 158,1 536,1 242,1 1,1
236,1 405,2 542,1 403,2 396,3 454,3 163,2 1,1
440,2 162,1 403,1 163,1 161,1 158,1 401,2 1,1
440,2 538,3 425,1 351,2 541,1 158,1 401,1 1,1
440,1 403,1 425,1 401,1 158,1 351,1 402,1 1,1
550,2 405,1 448,1 351,2 429,2 242,1 396,3 1,1
440,2 538,2 425,1 351,2 541,1 158,1 401,1 3,3
236,1 405,1 396,1 400,2 423,1 461,1 0,0 1,1
440,2 538,2 425,2 351,2 541,1 158,1 401,1 2,2
440,2 399,3 397,3 401,1 402,2 403,2 454,3 1,1
440,2 405,2 462,1 351,2 350,2 406,2 454,3 1,1
440,2 162,1 395,3 333,2 401,1 158,1 351,2 2,2
440,1 405,1 462,1 426,1 429,1 242,1 461,1 1,1
440,2 162,1 425,3 401,1 402,1 158,1 351,2 1,1
440,2 162,1 425,3 401,2 351,2 158,1 454,3 1,1
550,1 544,1 542,1 543,1 539,1 301,1 0,0 1,1
440,2 538,3 536,1 401,1 454,1 158,1 351,2 1,1
440,2 162,1 395,2 333,2 401,2 158,1 351,2 1,1
440,2 162,1 538,2 424,3 158,1 161,1 163,1 1,1
440,2 162,1 538,3 163,1 158,2 401,1 351,1 2,2
440,2 405,1 538,3 351,2 158,2 401,2 454,3 1,1
440,2 405,1 538,3 351,2 158,1 401,2 454,3 3,3
440,2 399,3 538,2 425,3 351,1 401,2 158,1 1,1
464,1 408,1 395,3 447,1 424,3 542,1 482,2 1,1
440,2 162,1 538,2 163,1 158,1 401,1 351,1 1,1
440,1 536,1 538,1 351,1 158,1 401,1 539,1 1,1
440,2 399,3 397,3 401,2 402,1 403,1 454,3 1,1
440,2 399,3 247,1 165,1 351,2 401,1 539,2 1,1
440,2 162,1 538,2 163,1 158,1 401,2 351,1 4,4
440,1 162,1 163,1 161,1 158,1 401,1 536,1 3,3
440,2 162,1 538,1 163,1 158,2 401,2 351,2 1,1
440,2 538,1 397,3 163,1 161,1 158,1 401,2 1,1
440,2 162,1 538,3 163,2 158,2 401,2 351,2 1,1
167,1 403,1 396,1 424,1 400,1 161,1 163,1 1,1
440,1 395,1 162,1 401,1 158,1 161,1 163,1 1,1
550,1 544,1 538,1 0,0 0,0 0,0 0,0 1,1
167,1 349,1 454,1 0,0 0,0 0,0 0,0 1,1
236,1 405,1 403,1 164,1 400,1 237,1 163,1 1,1
167,1 539,1 544,1 543,1 542,1 0,0 0,0 1,1
236,1 405,2 538,3 396,3 400,2 163,1 160,1 1,1
167,1 539,1 537,1 538,1 544,1 0,0 0,0 1,1
440,2 538,2 425,2 351,2 541,1 158,1 401,2 1,1
440,2 162,1 538,2 163,1 158,3 401,2 351,2 1,1
440,2 162,1 538,1 163,1 158,1 401,2 351,1 4,5
440,2 162,1 425,3 401,1 351,2 158,1 454,3 7,9
440,2 538,3 425,3 351,2 541,1 158,1 401,1 3,4
440,2 162,1 538,3 163,1 158,1 401,1 351,1 12,17
440,2 162,1 538,1 163,1 158,1 401,1 351,1 2,3
440,1 538,1 425,1 541,1 158,1 401,1 351,1 10,15
440,2 162,1 425,2 401,1 351,2 158,1 454,3 6,9
440,1 538,1 536,1 401,1 454,1 158,1 351,1 23,36
440,1 162,1 425,1 401,1 402,1 158,1 351,1 7,11
440,2 538,3 425,2 351,2 541,1 158,1 401,1 5,8
440,1 162,1 538,1 163,1 158,1 401,1 351,1 16,28
440,2 162,1 538,3 163,1 158,1 401,2 351,1 10,18
440,1 162,1 538,1 163,1 158,1 401,1 542,1 6,11
440,2 162,1 538,3 163,1 158,1 401,1 351,2 16,31
440,1 399,1 538,1 158,1 401,1 536,1 163,1 3,6
550,1 349,1 454,1 543,1 0,0 0,0 0,0 1,2
440,1 190,1 157,1 194,1 423,1 161,1 163,1 1,2
440,1 162,1 425,1 401,1 351,1 158,1 454,1 1,2
440,2 162,1 538,1 163,1 158,1 401,1 351,2 2,4
440,1 162,1 428,1 401,1 351,1 402,1 403,1 1,2
440,1 162,1 538,1 401,1 193,1 158,1 351,1 3,6
440,2 162,1 401,2 402,2 163,1 158,1 536,1 1,2
440,2 162,1 538,2 163,1 158,1 401,1 351,2 1,2
167,1 162,1 159,1 194,1 163,1 161,1 158,1 1,2
440,1 399,1 538,1 401,1 400,1 161,1 163,1 1,2
440,1 162,1 401,1 402,1 163,1 158,1 536,1 2,4
440,2 162,1 538,3 163,1 158,1 401,2 351,2 3,6
440,2 162,2 425,3 401,2 402,2 158,3 351,2 5,10
440,1 160,1 538,1 333,1 401,1 351,1 158,1 2,4
440,1 538,1 425,1 351,1 541,1 158,1 401,1 18,39
