549,1 514,1 315,1 367,1 0,0 0,0 0,0 1,1
439,2 515,1 429,1 371,3 0,0 0,0 0,0 1,1
549,1 542,1 315,1 0,0 0,0 0,0 0,0 1,1
439,1 184,1 180,1 371,1 0,0 0,0 0,0 1,1
278,1 380,1 542,2 188,1 0,0 0,0 0,0 1,1
439,1 515,1 426,1 372,1 0,0 0,0 0,0 1,1
439,2 370,3 372,2 448,1 426,3 0,0 0,0 1,1
439,2 428,2 448,1 372,2 0,0 0,0 0,0 1,1
439,2 380,1 370,3 371,3 183,1 373,2 0,0 1,1
439,2 184,1 183,1 371,3 380,1 0,0 0,0 4,4
259,1 514,1 184,1 371,1 380,1 0,0 0,0 4,4
439,2 184,2 183,2 371,3 0,0 0,0 0,0 1,1
439,2 376,2 371,3 0,0 0,0 0,0 0,0 1,1
439,2 380,1 180,3 373,2 379,1 183,2 336,1 1,1
278,1 542,1 188,1 0,0 0,0 0,0 0,0 1,1
509,1 380,1 370,3 430,1 373,2 0,0 0,0 1,1
259,1 426,1 188,1 371,1 0,0 0,0 0,0 1,1
439,2 375,2 371,3 183,1 0,0 0,0 0,0 1,1
439,2 184,1 426,3 373,2 183,1 0,0 0,0 1,1
439,2 370,3 373,2 371,3 183,1 0,0 0,0 1,1
189,1 184,1 185,1 371,1 0,0 0,0 0,0 1,1
189,1 376,1 380,1 371,1 0,0 0,0 0,0 1,1
189,2 380,1 514,3 184,2 371,3 0,0 0,0 1,1
439,2 380,1 379,1 448,1 372,1 0,0 0,0 1,1
439,2 367,3 373,2 371,3 448,1 426,3 0,0 1,1
549,1 380,1 315,1 379,1 0,0 0,0 0,0 1,1
439,2 373,2 336,1 371,3 183,2 380,1 0,0 1,1
439,2 515,3 426,3 448,1 371,3 0,0 0,0 1,1
439,2 376,1 371,1 0,0 0,0 0,0 0,0 1,1
439,2 370,3 253,1 371,3 0,0 0,0 0,0 1,1
549,2 367,3 315,1 514,3 0,0 0,0 0,0 1,1
439,2 367,3 372,2 371,3 0,0 0,0 0,0 2,2
439,2 367,3 426,3 373,2 371,3 448,1 0,0 1,1
439,2 426,1 180,1 373,2 371,3 183,1 0,0 1,1
439,2 184,1 380,1 371,3 378,2 0,0 0,0 1,1
439,2 367,3 428,2 373,2 371,3 0,0 0,0 2,2
549,1 514,1 315,1 0,0 0,0 0,0 0,0 3,3
439,2 180,3 380,1 183,1 379,1 371,2 272,3 1,1
439,2 184,1 183,1 371,1 0,0 0,0 0,0 2,2
439,2 426,2 380,1 367,3 373,1 371,3 336,1 1,1
259,1 184,1 514,1 371,1 380,1 0,0 0,0 1,1
278,1 514,2 188,1 0,0 0,0 0,0 0,0 1,1
259,2 380,1 184,2 297,1 371,3 237,1 0,0 1,1
259,1 184,1 426,1 371,1 272,1 0,0 0,0 1,1
549,2 514,3 315,2 367,3 0,0 0,0 0,0 1,1
439,1 370,1 180,1 373,1 183,1 379,1 0,0 1,1
509,1 180,1 380,1 379,1 446,1 378,1 427,1 2,2
278,1 380,1 367,3 180,3 188,1 0,0 0,0 1,1
439,2 380,1 367,3 428,2 373,2 371,3 0,0 1,1
278,1 542,2 188,1 0,0 0,0 0,0 0,0 2,2
278,1 380,1 367,3 427,2 188,1 0,0 0,0 1,1
259,1 542,1 184,1 371,1 0,0 0,0 0,0 1,1
259,2 184,1 514,3 371,3 380,1 0,0 0,0 1,1
439,2 515,3 379,1 371,3 0,0 0,0 0,0 1,1
259,1 184,1 367,1 371,1 237,1 0,0 0,0 1,1
259,1 184,1 380,1 371,1 185,1 0,0 0,0 1,1
189,1 451,1 0,0 0,0 0,0 0,0 0,0 1,1
189,1 349,1 451,1 0,0 0,0 0,0 0,0 1,1
549,2 367,3 514,3 315,1 0,0 0,0 0,0 1,1
439,2 367,3 451,3 370,3 369,3 371,3 0,0 1,1
439,2 184,1 183,1 371,2 0,0 0,0 0,0 1,1
439,2 184,1 183,1 371,3 0,0 0,0 0,0 1,1
439,2 370,3 180,1 367,3 373,1 183,1 336,1 1,1
439,1 380,1 184,1 183,1 371,1 0,0 0,0 42,59
259,1 184,1 371,1 185,1 0,0 0,0 0,0 11,16
189,1 380,1 514,1 184,1 371,1 0,0 0,0 35,51
439,2 367,3 373,2 371,3 429,1 0,0 0,0 2,3
439,1 426,1 372,1 371,1 0,0 0,0 0,0 2,3
439,2 368,3 379,1 371,3 0,0 0,0 0,0 12,18
439,2 184,1 371,3 183,1 380,1 0,0 0,0 2,3
189,1 514,1 184,1 371,1 0,0 0,0 0,0 429,659
189,1 542,1 184,1 371,1 0,0 0,0 0,0 59,106
439,2 380,1 184,1 183,1 371,3 0,0 0,0 21,38
439,1 184,1 380,1 183,1 371,1 0,0 0,0 7,13
439,1 184,1 183,1 371,1 0,0 0,0 0,0 218,431
439,2 184,1 380,1 183,1 371,3 0,0 0,0 2,4
439,2 426,3 380,1 367,3 373,1 371,3 336,1 2,4
439,2 367,3 380,1 373,2 448,1 379,1 336,1 1,2
439,1 367,1 373,1 371,1 336,1 0,0 0,0 1,2
439,1 180,1 373,1 371,1 336,1 0,0 0,0 1,2
189,1 184,1 371,1 185,1 0,0 0,0 0,0 1,2
439,2 380,1 184,1 183,1 371,1 0,0 0,0 1,2
439,2 426,3 380,1 367,3 373,2 371,2 336,1 1,2
439,1 367,1 372,1 371,1 0,0 0,0 0,0 1,2
439,2 367,3 373,2 371,3 429,2 0,0 0,0 1,2
439,1 184,1 371,1 183,1 0,0 0,0 0,0 16,38
439,2 373,2 183,2 336,1 371,3 0,0 0,0 2,5
439,1 368,1 379,1 371,1 0,0 0,0 0,0 7,20
439,1 367,1 373,1 371,1 513,1 0,0 0,0 3,9
549,1 514,1 515,1 0,0 0,0 0,0 0,0 1,3
439,2 376,1 371,3 0,0 0,0 0,0 0,0 1,3
439,2 426,1 380,1 367,3 373,1 371,3 336,1 2,7
439,2 368,3 373,2 183,2 336,1 0,0 0,0 2,8
439,2 368,3 373,2 183,1 336,1 0,0 0,0 4,19
439,1 376,1 371,1 0,0 0,0 0,0 0,0 1,5
439,2 426,1 380,1 367,3 373,2 371,3 336,1 1,11
439,2 370,3 367,3 379,1 448,1 183,1 336,1 0,1
439,1 375,1 367,1 183,1 373,1 0,0 0,0 0,1
439,2 180,1 448,1 372,2 427,1 0,0 0,0 0,1
439,1 426,1 180,1 373,1 371,1 183,1 0,0 0,1
439,2 428,2 373,2 448,1 429,2 0,0 0,0 0,1
439,2 188,1 183,1 379,1 380,1 0,0 0,0 0,1
439,1 190,1 184,1 0,0 0,0 0,0 0,0 0,2
439,2 184,1 380,1 183,1 371,1 0,0 0,0 0,1
439,2 367,3 373,1 351,2 371,3 426,2 0,0 0,1
509,1 375,2 371,3 0,0 0,0 0,0 0,0 0,1
439,2 370,3 372,2 426,3 448,1 0,0 0,0 0,2
439,1 368,1 367,1 428,1 426,1 429,1 0,0 0,2
439,1 184,1 380,1 371,1 183,1 0,0 0,0 0,1
439,2 367,3 372,2 448,1 336,1 0,0 0,0 0,1
439,1 515,1 180,1 183,1 513,1 427,1 0,0 0,2
259,1 184,1 378,1 371,1 0,0 0,0 0,0 0,1
509,1 183,1 430,1 187,1 0,0 0,0 0,0 0,2
439,1 514,1 373,1 367,1 371,1 426,1 0,0 0,1
439,1 544,1 184,1 427,1 0,0 0,0 0,0 0,1
439,1 380,1 188,1 379,1 183,1 0,0 0,0 0,1
259,2 515,3 297,1 446,1 272,3 378,2 427,2 0,1
439,2 370,3 367,3 373,1 371,3 426,1 0,0 0,7
439,2 426,2 427,1 379,1 183,1 352,1 336,1 0,1
439,2 380,1 180,3 373,2 379,1 183,1 336,1 0,1
439,2 184,1 371,3 183,1 0,0 0,0 0,0 0,2
439,2 367,3 373,1 351,1 371,3 426,2 0,0 0,1
439,2 367,3 448,1 372,2 336,1 0,0 0,0 0,1
439,2 367,3 373,2 351,2 371,3 426,3 0,0 0,1
439,2 367,3 428,1 373,2 371,3 0,0 0,0 0,1
439,1 370,1 426,1 367,1 373,1 183,1 194,1 0,1
439,2 367,3 426,3 373,2 371,3 336,1 0,0 0,1
439,1 184,1 371,1 427,1 0,0 0,0 0,0 0,2
549,1 514,1 543,1 351,1 0,0 0,0 0,0 0,1
259,1 375,1 369,1 371,1 380,1 0,0 0,0 0,1
439,2 367,3 426,3 373,2 448,1 371,3 0,0 0,1
439,1 370,1 180,1 373,1 426,1 369,1 183,1 0,1
439,2 370,3 367,3 373,1 371,3 426,2 0,0 0,1
439,2 375,2 367,3 183,1 373,2 0,0 0,0 0,1
439,1 368,1 375,1 367,1 426,1 0,0 0,0 0,1
439,2 372,1 371,2 367,2 0,0 0,0 0,0 0,1
439,1 372,1 367,1 371,1 0,0 0,0 0,0 0,1
549,2 514,3 315,1 367,1 0,0 0,0 0,0 0,1
439,2 370,3 373,2 371,3 427,1 0,0 0,0 0,1
439,2 367,3 373,2 351,2 371,3 426,2 0,0 0,1
439,2 253,1 448,1 371,3 0,0 0,0 0,0 0,1
439,1 367,1 515,1 372,1 0,0 0,0 0,0 0,1
439,2 515,1 426,3 371,3 336,1 0,0 0,0 0,1
439,1 180,1 367,1 373,1 371,1 183,1 0,0 0,1
549,1 432,1 448,1 427,1 0,0 0,0 0,0 0,1
278,1 367,3 180,3 380,1 279,2 428,2 0,0 0,1
439,1 370,1 373,1 352,1 379,1 0,0 0,0 0,1
439,2 372,2 367,3 371,3 0,0 0,0 0,0 0,2
439,1 188,1 371,1 0,0 0,0 0,0 0,0 0,1
