261,1 422,1 428,1 415,1 429,1 153,1 420,1 1,1
156,1 344,1 351,1 412,1 414,1 150,1 411,1 1,1
441,2 409,3 343,3 448,1 415,1 542,1 344,2 1,1
156,2 343,3 411,3 414,2 351,2 344,2 415,1 3,3
441,2 428,2 343,3 426,3 448,1 542,2 344,2 1,1
441,2 412,3 343,3 420,2 414,2 415,1 344,2 2,2
441,2 412,2 343,2 420,1 414,2 415,1 344,2 1,1
441,2 412,3 343,2 420,1 414,2 415,1 344,2 1,1
441,2 428,2 426,3 448,1 343,3 351,2 344,2 1,1
502,2 343,3 414,2 150,1 411,3 351,2 344,2 1,1
156,1 412,1 415,1 414,1 150,1 411,1 351,1 1,1
261,2 542,2 428,2 344,2 153,2 411,3 0,0 1,1
441,2 343,3 414,2 415,2 344,2 427,1 351,1 1,1
441,2 343,3 455,2 414,2 411,3 351,1 344,2 1,1
261,1 147,1 414,1 420,1 418,1 448,1 415,1 7,7
502,2 415,3 420,2 414,2 344,3 455,1 351,2 1,1
156,2 542,1 415,2 150,1 411,3 351,2 414,2 1,1
441,2 343,3 414,2 411,3 542,1 351,2 344,2 1,1
441,1 428,1 414,1 409,1 415,1 427,1 344,1 1,1
441,2 343,3 542,1 344,2 411,1 414,2 351,2 1,1
261,2 412,1 150,2 415,2 411,3 414,2 351,2 1,1
441,2 343,3 415,2 150,1 411,3 351,2 414,2 4,4
441,2 412,3 150,2 344,2 411,3 414,1 149,3 1,1
441,2 412,1 409,3 344,2 411,1 414,1 149,1 1,1
156,1 412,1 414,1 415,1 344,1 420,1 448,1 1,1
441,2 428,1 343,1 415,1 344,1 414,1 0,0 1,1
156,2 343,3 411,3 414,1 351,2 344,2 415,1 1,1
441,2 412,2 343,2 420,1 414,1 415,1 344,1 1,1
261,1 343,1 351,1 411,1 153,1 414,1 344,1 1,1
441,2 412,3 150,1 424,2 344,2 149,2 427,2 1,1
261,2 422,1 428,2 415,2 429,2 153,2 420,2 1,1
441,2 412,3 343,2 420,1 414,2 415,2 344,2 1,1
502,1 343,1 351,1 344,1 414,1 411,1 427,1 1,1
441,2 409,3 343,3 448,1 415,2 344,2 542,1 1,1
156,1 343,1 415,1 344,1 411,1 351,1 414,1 1,1
441,2 412,3 343,3 420,2 414,2 415,1 344,1 1,1
441,2 455,2 412,1 411,1 414,1 343,3 344,2 1,1
156,1 412,1 409,1 150,1 411,1 415,1 344,1 1,1
261,2 412,3 420,2 414,2 415,2 153,2 154,2 1,1
441,2 428,2 150,1 344,2 427,2 149,1 414,2 1,1
