261,2 343,3 420,1 448,1 153,2 415,2 422,1 1,1
156,2 152,1 424,3 344,2 422,1 0,0 0,0 2,2
551,1 409,1 343,1 320,1 414,1 0,0 0,0 1,1
441,2 152,1 344,1 149,2 0,0 0,0 0,0 1,1
463,1 343,3 412,3 455,2 411,3 414,2 422,1 1,1
441,2 152,2 344,1 427,1 0,0 0,0 0,0 1,1
441,2 413,3 417,2 427,2 0,0 0,0 0,0 2,2
441,2 532,3 409,3 412,3 414,2 426,1 0,0 1,1
441,2 413,3 343,3 427,1 344,2 0,0 0,0 1,1
156,2 152,1 424,2 344,2 422,1 0,0 0,0 1,1
441,2 343,1 422,1 455,1 344,1 413,2 0,0 1,1
441,2 409,3 413,3 411,3 414,2 343,3 0,0 1,1
551,2 532,3 542,1 0,0 0,0 0,0 0,0 1,1
551,1 343,1 351,1 320,1 0,0 0,0 0,0 1,1
441,2 413,3 344,2 415,2 422,1 0,0 0,0 1,1
156,2 152,2 344,1 424,1 0,0 0,0 0,0 1,1
463,1 409,3 422,1 460,1 455,2 343,3 0,0 1,1
156,1 533,1 344,1 409,1 426,1 0,0 0,0 1,1
156,2 343,3 455,1 460,1 409,3 412,3 0,0 1,1
551,1 542,1 320,1 343,1 0,0 0,0 0,0 1,1
441,2 413,3 344,1 427,1 409,3 426,3 0,0 1,1
441,2 413,3 344,2 427,2 409,3 426,3 422,1 1,1
261,1 343,1 411,1 420,1 412,1 414,1 542,1 1,1
441,2 152,1 344,2 427,2 0,0 0,0 0,0 1,1
261,2 343,3 409,3 411,3 351,2 485,3 422,1 1,1
463,1 409,3 422,1 460,1 455,1 343,3 0,0 1,1
441,2 413,3 344,1 427,1 409,1 426,3 0,0 1,1
156,1 343,1 455,1 409,1 411,1 413,1 426,1 1,1
156,1 533,1 544,1 0,0 0,0 0,0 0,0 1,1
156,1 152,1 424,1 344,1 422,1 0,0 0,0 92,127
441,2 413,3 344,2 427,2 409,2 426,1 0,0 2,3
441,2 413,3 344,2 427,2 409,3 426,1 0,0 4,6
441,2 413,3 344,2 427,1 409,3 426,1 0,0 9,14
441,2 413,3 344,2 427,1 409,3 426,3 0,0 5,8
441,2 152,1 344,2 149,1 0,0 0,0 0,0 47,78
156,1 152,1 424,1 344,1 0,0 0,0 0,0 15,25
156,1 152,1 420,1 344,1 409,1 0,0 0,0 7,12
441,1 533,1 426,1 149,1 427,1 0,0 0,0 4,7
441,1 152,1 344,1 149,1 0,0 0,0 0,0 150,275
156,1 412,1 409,1 424,1 427,1 413,1 0,0 7,13
441,2 413,3 344,1 427,2 409,3 426,3 0,0 1,2
441,1 147,1 191,1 414,1 411,1 149,1 0,0 1,2
441,2 152,1 344,2 427,1 0,0 0,0 0,0 1,2
156,1 412,1 409,1 414,1 411,1 413,1 422,1 2,4
441,2 343,3 412,3 411,3 413,3 0,0 0,0 3,6
156,1 152,1 344,1 424,1 0,0 0,0 0,0 1,2
156,1 343,1 412,1 409,1 424,1 413,1 0,0 1,2
441,2 152,1 344,1 427,1 0,0 0,0 0,0 1,2
